index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
108,2020-03-17,12,3,0.34016,2020-03-17,0.0,0,AC,3,0
121,2020-03-18,12,3,0.34016,2020-03-18,0.0,0,AC,0,0
142,2020-03-19,12,4,0.45355,2020-03-19,0.0,0,AC,1,0
162,2020-03-20,12,7,0.79371,2020-03-20,0.0,0,AC,3,0
187,2020-03-21,12,11,1.24726,2020-03-21,0.0,0,AC,4,0
213,2020-03-22,13,11,1.24726,2020-03-22,0.0,0,AC,0,0
239,2020-03-23,13,17,1.9275799999999998,2020-03-23,0.0,0,AC,6,0
263,2020-03-24,13,21,2.3811299999999997,2020-03-24,0.0,0,AC,4,0
290,2020-03-25,13,23,2.6079,2020-03-25,0.0,0,AC,2,0
317,2020-03-26,13,23,2.6079,2020-03-26,0.0,0,AC,0,0
343,2020-03-27,13,25,2.83468,2020-03-27,0.0,0,AC,2,0
370,2020-03-28,13,25,2.83468,2020-03-28,0.0,0,AC,0,0
395,2020-03-29,14,34,3.8551599999999997,2020-03-29,0.0,0,AC,9,0
418,2020-03-30,14,41,4.64887,2020-03-30,0.0,0,AC,7,0
445,2020-03-31,14,42,4.7622599999999995,2020-03-31,0.0,0,AC,1,0
472,2020-04-01,14,43,4.87564,2020-04-01,0.0,0,AC,1,0
499,2020-04-02,14,45,5.1024199999999995,2020-04-02,0.0,0,AC,2,0
526,2020-04-03,14,46,5.2158,2020-04-03,0.0,0,AC,1,0
553,2020-04-04,14,46,5.2158,2020-04-04,0.0,0,AC,0,0
580,2020-04-05,15,48,5.44258,2020-04-05,0.0,0,AC,2,0
606,2020-04-06,15,50,5.66935,2020-04-06,0.02,1,AC,2,1
632,2020-04-07,15,50,5.66935,2020-04-07,0.04,2,AC,0,1
659,2020-04-08,15,58,6.57645,2020-04-08,0.0345,2,AC,8,0
686,2020-04-09,15,62,7.03,2020-04-09,0.0323,2,AC,4,0
712,2020-04-10,15,70,7.9370899999999995,2020-04-10,0.0286,2,AC,8,0
739,2020-04-11,15,72,8.16387,2020-04-11,0.0278,2,AC,2,0
766,2020-04-12,16,77,8.7308,2020-04-12,0.026000000000000002,2,AC,5,0
792,2020-04-13,16,90,10.204830000000001,2020-04-13,0.0333,3,AC,13,1
818,2020-04-14,16,99,11.22532,2020-04-14,0.0303,3,AC,9,0
845,2020-04-15,16,101,11.45209,2020-04-15,0.0396,4,AC,2,1
872,2020-04-16,16,115,13.03951,2020-04-16,0.0435,5,AC,14,1
899,2020-04-17,16,135,15.30725,2020-04-17,0.037000000000000005,5,AC,20,0
926,2020-04-18,16,142,16.10096,2020-04-18,0.0423,6,AC,7,1
953,2020-04-19,17,163,18.48209,2020-04-19,0.0368,6,AC,21,0
980,2020-04-20,17,176,19.956120000000002,2020-04-20,0.0455,8,AC,13,2
1007,2020-04-21,17,195,22.11047,2020-04-21,0.040999999999999995,8,AC,19,0
1034,2020-04-22,17,214,24.26483,2020-04-22,0.0374,8,AC,19,0
1060,2020-04-23,17,227,25.73886,2020-04-23,0.0441,10,AC,13,2
