index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
20,2020-03-08,11,1,0.029960000000000004,2020-03-08,0.0,0,AL,1,0
26,2020-03-09,11,1,0.029960000000000004,2020-03-09,0.0,0,AL,0,0
32,2020-03-10,11,1,0.029960000000000004,2020-03-10,0.0,0,AL,0,0
45,2020-03-12,11,1,0.029960000000000004,2020-03-12,0.0,0,AL,0,0
59,2020-03-13,11,1,0.029960000000000004,2020-03-13,0.0,0,AL,0,0
91,2020-03-16,12,1,0.029960000000000004,2020-03-16,0.0,0,AL,0,0
109,2020-03-17,12,1,0.029960000000000004,2020-03-17,0.0,0,AL,0,0
122,2020-03-18,12,1,0.029960000000000004,2020-03-18,0.0,0,AL,0,0
143,2020-03-19,12,4,0.11986,2020-03-19,0.0,0,AL,3,0
163,2020-03-20,12,6,0.17978,2020-03-20,0.0,0,AL,2,0
188,2020-03-21,12,7,0.20975,2020-03-21,0.0,0,AL,1,0
214,2020-03-22,13,7,0.20975,2020-03-22,0.0,0,AL,0,0
240,2020-03-23,13,8,0.23970999999999998,2020-03-23,0.0,0,AL,1,0
264,2020-03-24,13,10,0.29964,2020-03-24,0.0,0,AL,2,0
291,2020-03-25,13,11,0.3296,2020-03-25,0.0,0,AL,1,0
318,2020-03-26,13,11,0.3296,2020-03-26,0.0,0,AL,0,0
344,2020-03-27,13,12,0.35957,2020-03-27,0.0,0,AL,1,0
371,2020-03-28,13,14,0.41949,2020-03-28,0.0,0,AL,2,0
396,2020-03-29,14,17,0.50939,2020-03-29,0.0,0,AL,3,0
419,2020-03-30,14,17,0.50939,2020-03-30,0.0,0,AL,0,0
446,2020-03-31,14,18,0.53935,2020-03-31,0.0556,1,AL,1,1
473,2020-04-01,14,18,0.53935,2020-04-01,0.0556,1,AL,0,0
500,2020-04-02,14,18,0.53935,2020-04-02,0.0556,1,AL,0,0
527,2020-04-03,14,23,0.68917,2020-04-03,0.087,2,AL,5,1
554,2020-04-04,14,23,0.68917,2020-04-04,0.087,2,AL,0,0
581,2020-04-05,15,28,0.83899,2020-04-05,0.0714,2,AL,5,0
607,2020-04-06,15,31,0.9288799999999999,2020-04-06,0.0645,2,AL,3,0
633,2020-04-07,15,34,1.0187700000000002,2020-04-07,0.0588,2,AL,3,0
660,2020-04-08,15,37,1.10866,2020-04-08,0.0811,3,AL,3,1
687,2020-04-09,15,37,1.10866,2020-04-09,0.0811,3,AL,0,0
713,2020-04-10,15,45,1.34837,2020-04-10,0.0667,3,AL,8,0
740,2020-04-11,15,48,1.43826,2020-04-11,0.0625,3,AL,3,0
767,2020-04-12,16,48,1.43826,2020-04-12,0.0625,3,AL,0,0
793,2020-04-13,16,58,1.7379,2020-04-13,0.069,4,AL,10,1
819,2020-04-14,16,72,2.1574,2020-04-14,0.0556,4,AL,14,0
846,2020-04-15,16,83,2.487,2020-04-15,0.0602,5,AL,11,1
873,2020-04-16,16,89,2.6667799999999997,2020-04-16,0.0562,5,AL,6,0
900,2020-04-17,16,110,3.2960199999999995,2020-04-17,0.0636,7,AL,21,2
927,2020-04-18,16,132,3.9552300000000002,2020-04-18,0.0758,10,AL,22,3
954,2020-04-19,17,159,4.76425,2020-04-19,0.0943,15,AL,27,5
981,2020-04-20,17,171,5.123819999999999,2020-04-20,0.1053,18,AL,12,3
1008,2020-04-21,17,210,6.2924,2020-04-21,0.0905,19,AL,39,1
1035,2020-04-22,17,243,7.281210000000001,2020-04-22,0.0823,20,AL,33,1
1061,2020-04-23,17,324,9.70828,2020-04-23,0.0679,22,AL,81,2
1088,2020-04-24,17,413,12.375060000000001,2020-04-24,0.0654,27,AL,89,5
1115,2020-04-25,17,501,15.01188,2020-04-25,0.0579,29,AL,88,2
1142,2020-04-26,18,560,16.77975,2020-04-26,0.0571,32,AL,59,3
1169,2020-04-27,18,643,19.26674,2020-04-27,0.0529,34,AL,83,2
1196,2020-04-28,18,777,23.2819,2020-04-28,0.0463,36,AL,134,2
1222,2020-04-29,18,957,28.675390000000004,2020-04-29,0.0428,41,AL,180,5
1248,2020-04-30,18,1045,31.3122,2020-04-30,0.045,47,AL,88,6
1275,2020-05-01,18,1226,36.735659999999996,2020-05-01,0.0432,53,AL,181,6
1302,2020-05-02,18,1371,41.08041,2020-05-02,0.0423,58,AL,145,5
1328,2020-05-03,19,1441,43.17788,2020-05-03,0.0444,64,AL,70,6
1355,2020-05-04,19,1538,46.08437,2020-05-04,0.0468,72,AL,97,8
1382,2020-05-05,19,1605,48.09195,2020-05-05,0.0498,80,AL,67,8
1409,2020-05-06,19,1703,51.0284,2020-05-06,0.0523,89,AL,98,9
1436,2020-05-07,19,1867,55.94246999999999,2020-05-07,0.0525,98,AL,164,9
1463,2020-05-08,19,2033,60.91647,2020-05-08,0.0531,108,AL,166,10
1490,2020-05-09,19,2170,65.02150999999999,2020-05-09,0.0525,114,AL,137,6
1516,2020-05-10,20,2258,67.65833,2020-05-10,0.0558,126,AL,88,12
1543,2020-05-11,20,2343,70.20526,2020-05-11,0.0589,138,AL,85,12
1570,2020-05-12,20,2580,77.30668,2020-05-12,0.0581,150,AL,237,12
1597,2020-05-13,20,2761,82.73014,2020-05-13,0.0594,164,AL,181,14
1624,2020-05-14,20,2972,89.0525,2020-05-14,0.0596,177,AL,211,13
1651,2020-05-15,20,3212,96.24382,2020-05-15,0.0582,187,AL,240,10
1677,2020-05-16,20,3593,107.66004,2020-05-16,0.0554,199,AL,381,12
1703,2020-05-17,21,3816,114.34198,2020-05-17,0.055,210,AL,223,11
1730,2020-05-18,21,4031,120.7842,2020-05-18,0.0548,221,AL,215,11
1757,2020-05-19,21,4319,129.41378,2020-05-19,0.0542,234,AL,288,13
1784,2020-05-20,21,4437,132.94952,2020-05-20,0.0566,251,AL,118,17
1811,2020-05-21,21,4916,147.30219,2020-05-21,0.0533,262,AL,479,11
1837,2020-05-22,21,5302,158.86823,2020-05-22,0.0528,280,AL,386,18
1864,2020-05-23,21,5630,168.69637,2020-05-23,0.0535,301,AL,328,21
1889,2020-05-24,22,6214,186.19523999999998,2020-05-24,0.0509,316,AL,584,15
1915,2020-05-25,22,6682,200.21832,2020-05-25,0.0504,337,AL,468,21
1942,2020-05-26,22,7058,211.48472,2020-05-26,0.0499,352,AL,376,15
1969,2020-05-27,22,7580,227.12583999999998,2020-05-27,0.0485,368,AL,522,16
1994,2020-05-28,22,8056,241.38862000000003,2020-05-28,0.0478,385,AL,476,17
2021,2020-05-29,22,8619,258.25826,2020-05-29,0.0471,406,AL,563,21
2048,2020-05-30,22,9223,276.35641,2020-05-30,0.046,424,AL,604,18
2074,2020-05-31,23,10288,308.26788999999997,2020-05-31,0.0431,443,AL,1065,19
2101,2020-06-01,23,10837,324.71803,2020-06-01,0.0425,461,AL,549,18
2127,2020-06-02,23,11559,346.35192,2020-06-02,0.0417,482,AL,722,21
2154,2020-06-03,23,12407,371.76125,2020-06-03,0.0408,506,AL,848,24
2180,2020-06-04,23,13096,392.40632999999997,2020-06-04,0.0405,531,AL,689,25
2206,2020-06-05,23,13939,417.66584,2020-06-05,0.04,557,AL,843,26
2233,2020-06-06,23,14818,444.00404000000003,2020-06-06,0.0393,582,AL,879,25
2259,2020-06-07,24,15706,470.61192,2020-06-07,0.0383,601,AL,888,19
2286,2020-06-08,24,16339,489.57903,2020-06-08,0.0381,622,AL,633,21
2313,2020-06-09,24,17193,515.16814,2020-06-09,0.0372,640,AL,854,18
2340,2020-06-10,24,18176,544.6225900000001,2020-06-10,0.0363,660,AL,983,20
2367,2020-06-11,24,19200,575.30555,2020-06-11,0.0355,681,AL,1024,21
2394,2020-06-12,24,20031,600.20549,2020-06-12,0.035,701,AL,831,20
2421,2020-06-13,24,20887,625.85453,2020-06-13,0.0346,723,AL,856,22
2448,2020-06-14,25,22199,665.1670799999999,2020-06-14,0.0335,744,AL,1312,21
2475,2020-06-15,25,22926,686.95078,2020-06-15,0.0335,768,AL,727,24
2502,2020-06-16,25,23632,708.10525,2020-06-16,0.0336,793,AL,706,25
2529,2020-06-17,25,24867,745.11058,2020-06-17,0.0326,811,AL,1235,18
2556,2020-06-18,25,25633,768.06287,2020-06-18,0.0324,831,AL,766,20
2583,2020-06-19,25,26906,806.20683,2020-06-19,0.0315,848,AL,1273,17
2610,2020-06-20,25,27698,829.93818,2020-06-20,0.0313,866,AL,792,18
2637,2020-06-21,26,28657,858.6735,2020-06-21,0.0308,884,AL,959,18
2664,2020-06-22,26,29395,880.7868,2020-06-22,0.0307,903,AL,738,19
2691,2020-06-23,26,30246,906.2860199999999,2020-06-23,0.0304,920,AL,851,17
2718,2020-06-24,26,31230,935.77043,2020-06-24,0.03,938,AL,984,18
2745,2020-06-25,26,32065,960.7902300000001,2020-06-25,0.0299,958,AL,835,20
2771,2020-06-26,26,32864,984.7313300000001,2020-06-26,0.0297,975,AL,799,17
2798,2020-06-27,26,33521,1004.41757,2020-06-27,0.0296,993,AL,657,18
2824,2020-06-28,27,34312,1028.11896,2020-06-28,0.0295,1012,AL,791,19
2851,2020-06-29,27,35116,1052.20988,2020-06-29,0.0294,1032,AL,804,20
2878,2020-06-30,27,35962,1077.5592800000002,2020-06-30,0.0293,1052,AL,846,20
2905,2020-07-01,27,36819,1103.23828,2020-07-01,0.0291,1072,AL,857,20
2932,2020-07-02,27,37328,1118.4898699999999,2020-07-02,0.0292,1091,AL,509,19
2959,2020-07-03,27,38404,1150.73095,2020-07-03,0.028999999999999998,1113,AL,1076,22
2986,2020-07-04,27,39255,1176.2301699999998,2020-07-04,0.0289,1134,AL,851,21
3013,2020-07-05,28,39935,1196.6055800000001,2020-07-05,0.0289,1153,AL,680,19
3040,2020-07-06,28,40569,1215.60265,2020-07-06,0.0289,1172,AL,634,19
3067,2020-07-07,28,41524,1244.2181,2020-07-07,0.0287,1192,AL,955,20
3094,2020-07-08,28,42322,1268.12924,2020-07-08,0.0287,1213,AL,798,21
3121,2020-07-09,28,43191,1294.16781,2020-07-09,0.0285,1230,AL,869,17
3148,2020-07-10,28,43959,1317.18003,2020-07-10,0.0283,1246,AL,768,16
3175,2020-07-11,28,44633,1337.37565,2020-07-11,0.0283,1264,AL,674,18
3202,2020-07-12,29,45330,1358.26044,2020-07-12,0.0283,1281,AL,697,17
3229,2020-07-13,29,46296,1387.2055,2020-07-13,0.027999999999999997,1297,AL,966,16
3256,2020-07-14,29,47005,1408.44986,2020-07-14,0.027999999999999997,1314,AL,709,17
3282,2020-07-15,29,47864,1434.18879,2020-07-15,0.0278,1331,AL,859,17
3309,2020-07-16,29,48734,1460.25732,2020-07-16,0.0277,1348,AL,870,17
3336,2020-07-17,29,49253,1475.80855,2020-07-17,0.0277,1365,AL,519,17
3363,2020-07-18,29,49583,1485.69662,2020-07-18,0.0279,1381,AL,330,16
3388,2020-07-19,30,50079,1500.55868,2020-07-19,0.0279,1397,AL,496,16
3414,2020-07-20,30,50307,1507.3904300000002,2020-07-20,0.0281,1413,AL,228,16
3441,2020-07-21,30,50951,1526.68714,2020-07-21,0.027999999999999997,1428,AL,644,15
