index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
165,2020-03-20,12,1,0.11824000000000001,2020-03-20,0.0,0,AP,1,0
190,2020-03-21,12,1,0.11824000000000001,2020-03-21,0.0,0,AP,0,0
216,2020-03-22,13,1,0.11824000000000001,2020-03-22,0.0,0,AP,0,0
242,2020-03-23,13,1,0.11824000000000001,2020-03-23,0.0,0,AP,0,0
266,2020-03-24,13,1,0.11824000000000001,2020-03-24,0.0,0,AP,0,0
293,2020-03-25,13,2,0.23648000000000002,2020-03-25,0.0,0,AP,1,0
320,2020-03-26,13,2,0.23648000000000002,2020-03-26,0.0,0,AP,0,0
346,2020-03-27,13,3,0.35472,2020-03-27,0.0,0,AP,1,0
373,2020-03-28,13,4,0.47296000000000005,2020-03-28,0.0,0,AP,1,0
398,2020-03-29,14,8,0.9459299999999999,2020-03-29,0.0,0,AP,4,0
421,2020-03-30,14,8,0.9459299999999999,2020-03-30,0.0,0,AP,0,0
448,2020-03-31,14,10,1.18241,2020-03-31,0.0,0,AP,2,0
475,2020-04-01,14,11,1.30065,2020-04-01,0.0,0,AP,1,0
502,2020-04-02,14,12,1.41889,2020-04-02,0.0,0,AP,1,0
529,2020-04-03,14,19,2.24658,2020-04-03,0.0,0,AP,7,0
556,2020-04-04,14,29,3.42899,2020-04-04,0.0345,1,AP,10,1
583,2020-04-05,15,32,3.7837099999999997,2020-04-05,0.0312,1,AP,3,0
609,2020-04-06,15,39,4.6114,2020-04-06,0.0513,2,AP,7,1
635,2020-04-07,15,51,6.03029,2020-04-07,0.0392,2,AP,12,0
662,2020-04-08,15,107,12.65178,2020-04-08,0.0187,2,AP,56,0
689,2020-04-09,15,110,13.0065,2020-04-09,0.0182,2,AP,3,0
715,2020-04-10,15,166,19.62799,2020-04-10,0.012,2,AP,56,0
742,2020-04-11,15,193,22.82049,2020-04-11,0.0259,5,AP,27,3
769,2020-04-12,16,237,28.023090000000003,2020-04-12,0.0211,5,AP,44,0
795,2020-04-13,16,244,28.85078,2020-04-13,0.0246,6,AP,7,1
821,2020-04-14,16,308,36.4182,2020-04-14,0.0227,7,AP,64,1
848,2020-04-15,16,342,40.438390000000005,2020-04-15,0.0205,7,AP,34,0
875,2020-04-16,16,362,42.80321,2020-04-16,0.0276,10,AP,20,3
902,2020-04-17,16,375,44.340340000000005,2020-04-17,0.0267,10,AP,13,0
929,2020-04-18,16,400,47.29636,2020-04-18,0.025,10,AP,25,0
956,2020-04-19,17,416,49.18822,2020-04-19,0.0264,11,AP,16,1
983,2020-04-20,17,435,51.43479,2020-04-20,0.0299,13,AP,19,2
1010,2020-04-21,17,466,55.10026,2020-04-21,0.0279,13,AP,31,0
1037,2020-04-22,17,492,58.174530000000004,2020-04-22,0.0285,14,AP,26,1
1063,2020-04-23,17,555,65.6237,2020-04-23,0.0288,16,AP,63,2
1090,2020-04-24,17,648,76.62011,2020-04-24,0.0278,18,AP,93,2
1117,2020-04-25,17,689,81.46798000000001,2020-04-25,0.028999999999999998,20,AP,41,2
1144,2020-04-26,18,821,97.07578000000001,2020-04-26,0.027999999999999997,23,AP,132,3
1171,2020-04-27,18,842,99.55884,2020-04-27,0.0309,26,AP,21,3
1198,2020-04-28,18,918,108.54515,2020-04-28,0.0305,28,AP,76,2
1224,2020-04-29,18,1016,120.13276,2020-04-29,0.0305,31,AP,98,3
1250,2020-04-30,18,1080,127.70018,2020-04-30,0.0315,34,AP,64,3
1277,2020-05-01,18,1121,132.54806000000002,2020-05-01,0.033,37,AP,41,3
1304,2020-05-02,18,1187,140.35196000000002,2020-05-02,0.0337,40,AP,66,3
1330,2020-05-03,19,1482,175.23301999999998,2020-05-03,0.028999999999999998,43,AP,295,3
1357,2020-05-04,19,1733,204.91149,2020-05-04,0.0283,49,AP,251,6
1384,2020-05-05,19,1931,228.32318999999998,2020-05-05,0.0285,55,AP,198,6
1411,2020-05-06,19,2046,241.92088999999999,2020-05-06,0.0274,56,AP,115,1
1438,2020-05-07,19,2199,260.01175,2020-05-07,0.0277,61,AP,153,5
1465,2020-05-08,19,2322,274.55537999999996,2020-05-08,0.0284,66,AP,123,5
1492,2020-05-09,19,2493,294.77457999999996,2020-05-09,0.0277,69,AP,171,3
1518,2020-05-10,20,2613,308.96349,2020-05-10,0.0276,72,AP,120,3
1545,2020-05-11,20,2671,315.82146,2020-05-11,0.0273,73,AP,58,1
1572,2020-05-12,20,2910,344.08104,2020-05-12,0.0296,86,AP,239,13
1599,2020-05-13,20,3005,355.31392,2020-05-13,0.0313,94,AP,95,8
1626,2020-05-14,20,3428,405.32982999999996,2020-05-14,0.0295,101,AP,423,7
1653,2020-05-15,20,3630,429.21449,2020-05-15,0.0284,103,AP,202,2
1679,2020-05-16,20,3834,453.33564,2020-05-16,0.0282,108,AP,204,5
1705,2020-05-17,21,3952,467.28806,2020-05-17,0.0301,119,AP,118,11
1732,2020-05-18,21,4023,475.68317,2020-05-18,0.0316,127,AP,71,8
1759,2020-05-19,21,4310,509.61830999999995,2020-05-19,0.0316,136,AP,287,9
1786,2020-05-20,21,4549,537.87788,2020-05-20,0.0312,142,AP,239,6
1813,2020-05-21,21,5188,613.43382,2020-05-21,0.0291,151,AP,639,9
1839,2020-05-22,21,5655,668.65233,2020-05-22,0.0278,157,AP,467,6
1891,2020-05-24,22,6353,751.18448,2020-05-24,0.0257,163,AP,698,6
1917,2020-05-25,22,6584,778.49813,2020-05-25,0.0255,168,AP,231,5
1944,2020-05-26,22,6967,823.78439,2020-05-26,0.0248,173,AP,383,5
1971,2020-05-27,22,7619,900.8774699999999,2020-05-27,0.024,183,AP,652,10
1996,2020-05-28,22,8152,963.89987,2020-05-28,0.0243,198,AP,533,15
2023,2020-05-29,22,8469,1001.38224,2020-05-29,0.0244,207,AP,317,9
2050,2020-05-30,22,9313,1101.1775599999999,2020-05-30,0.0231,215,AP,844,8
2076,2020-05-31,23,9602,1135.3491800000002,2020-05-31,0.0231,222,AP,289,7
2103,2020-06-01,23,9890,1169.40256,2020-06-01,0.0231,228,AP,288,6
2129,2020-06-02,23,10511,1242.83017,2020-06-02,0.0225,237,AP,621,9
2156,2020-06-03,23,11107,1313.30175,2020-06-03,0.0222,247,AP,596,10
2182,2020-06-04,23,11551,1365.80071,2020-06-04,0.022000000000000002,254,AP,444,7
2208,2020-06-05,23,12327,1457.55565,2020-06-05,0.0211,260,AP,776,6
2235,2020-06-06,23,12773,1510.2911,2020-06-06,0.0211,269,AP,446,9
2261,2020-06-07,24,13045,1542.45262,2020-06-07,0.0209,272,AP,272,3
2288,2020-06-08,24,13294,1571.89461,2020-06-08,0.0209,278,AP,249,6
2315,2020-06-09,24,13771,1628.29552,2020-06-09,0.0207,285,AP,477,7
2342,2020-06-10,24,14623,1729.03677,2020-06-10,0.0198,289,AP,852,4
2369,2020-06-11,24,15166,1793.2415899999999,2020-06-11,0.02,303,AP,543,14
2396,2020-06-12,24,15683,1854.37213,2020-06-12,0.0199,312,AP,517,9
2423,2020-06-13,24,16322,1929.92807,2020-06-13,0.0195,319,AP,639,7
2450,2020-06-14,25,16512,1952.39385,2020-06-14,0.0196,324,AP,190,5
2477,2020-06-15,25,16813,1987.9843600000002,2020-06-15,0.0196,329,AP,301,5
2504,2020-06-16,25,18024,2131.1741,2020-06-16,0.0187,337,AP,1211,8
2531,2020-06-17,25,18618,2201.4092,2020-06-17,0.0182,338,AP,594,1
2558,2020-06-18,25,19387,2292.33645,2020-06-18,0.0176,342,AP,769,4
2585,2020-06-19,25,19922,2355.59534,2020-06-19,0.0175,348,AP,535,6
2612,2020-06-20,25,21574,2550.92931,2020-06-20,0.0164,353,AP,1652,5
2639,2020-06-21,26,21840,2582.3814,2020-06-21,0.0164,359,AP,266,6
2666,2020-06-22,26,24862,2939.70541,2020-06-22,0.015,372,AP,3022,13
2693,2020-06-23,26,26437,3125.93484,2020-06-23,0.0144,380,AP,1575,8
2720,2020-06-24,26,26919,3182.9269600000002,2020-06-24,0.0144,387,AP,482,7
2747,2020-06-25,26,27415,3241.57445,2020-06-25,0.0144,394,AP,496,7
2773,2020-06-26,26,27662,3270.77995,2020-06-26,0.0145,401,AP,247,7
2800,2020-06-27,26,27901,3299.03953,2020-06-27,0.0146,406,AP,239,5
2826,2020-06-28,27,27985,3308.97177,2020-06-28,0.0145,407,AP,84,1
2853,2020-06-29,27,28253,3340.66033,2020-06-29,0.0146,413,AP,268,6
