index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
60,2020-03-13,11,2,0.048260000000000004,2020-03-13,0.0,0,AM,2,0
123,2020-03-18,12,2,0.048260000000000004,2020-03-18,0.0,0,AM,0,0
144,2020-03-19,12,3,0.07238,2020-03-19,0.0,0,AM,1,0
164,2020-03-20,12,7,0.16889,2020-03-20,0.0,0,AM,4,0
189,2020-03-21,12,11,0.26541,2020-03-21,0.0,0,AM,4,0
215,2020-03-22,13,26,0.62732,2020-03-22,0.0,0,AM,15,0
241,2020-03-23,13,32,0.7720899999999999,2020-03-23,0.0,0,AM,6,0
265,2020-03-24,13,47,1.13401,2020-03-24,0.0213,1,AM,15,1
292,2020-03-25,13,54,1.3029,2020-03-25,0.0185,1,AM,7,0
319,2020-03-26,13,67,1.61656,2020-03-26,0.0149,1,AM,13,0
345,2020-03-27,13,81,1.95435,2020-03-27,0.0123,1,AM,14,0
372,2020-03-28,13,111,2.6781900000000003,2020-03-28,0.009000000000000001,1,AM,30,0
397,2020-03-29,14,140,3.3778900000000003,2020-03-29,0.0071,1,AM,29,0
420,2020-03-30,14,151,3.6433,2020-03-30,0.0132,2,AM,11,1
447,2020-03-31,14,175,4.22236,2020-03-31,0.0171,3,AM,24,1
474,2020-04-01,14,200,4.82556,2020-04-01,0.015,3,AM,25,0
501,2020-04-02,14,229,5.52527,2020-04-02,0.0131,3,AM,29,0
528,2020-04-03,14,260,6.27323,2020-04-03,0.0269,7,AM,31,4
555,2020-04-04,14,311,7.50375,2020-04-04,0.0386,12,AM,51,5
582,2020-04-05,15,417,10.06129,2020-04-05,0.036000000000000004,15,AM,106,3
608,2020-04-06,15,532,12.835989999999999,2020-04-06,0.0357,19,AM,115,4
634,2020-04-07,15,636,15.345279999999999,2020-04-07,0.0362,23,AM,104,4
661,2020-04-08,15,804,19.39875,2020-04-08,0.0373,30,AM,168,7
688,2020-04-09,15,899,21.69089,2020-04-09,0.0445,40,AM,95,10
714,2020-04-10,15,981,23.66937,2020-04-10,0.051,50,AM,82,10
741,2020-04-11,15,1049,25.31006,2020-04-11,0.0505,53,AM,68,3
768,2020-04-12,16,1206,29.09812,2020-04-12,0.0514,62,AM,157,9
794,2020-04-13,16,1275,30.762940000000004,2020-04-13,0.0557,71,AM,69,9
820,2020-04-14,16,1484,35.80565,2020-04-14,0.0606,90,AM,209,19
847,2020-04-15,16,1554,37.4946,2020-04-15,0.0682,106,AM,70,16
874,2020-04-16,16,1719,41.47569,2020-04-16,0.0721,124,AM,165,18
901,2020-04-17,16,1809,43.64719,2020-04-17,0.0802,145,AM,90,21
928,2020-04-18,16,1897,45.77043,2020-04-18,0.0849,161,AM,88,16
955,2020-04-19,17,2044,49.31722,2020-04-19,0.08900000000000001,182,AM,147,21
982,2020-04-20,17,2160,52.116040000000005,2020-04-20,0.0856,185,AM,116,3
1009,2020-04-21,17,2270,54.7701,2020-04-21,0.085,193,AM,110,8
1036,2020-04-22,17,2479,59.81281,2020-04-22,0.0831,206,AM,209,13
1062,2020-04-23,17,2888,69.68108000000001,2020-04-23,0.081,234,AM,409,28
1089,2020-04-24,17,3194,77.06419,2020-04-24,0.0798,255,AM,306,21
1116,2020-04-25,17,3635,87.70455,2020-04-25,0.079,287,AM,441,32
1143,2020-04-26,18,3833,92.48185,2020-04-26,0.0793,304,AM,198,17
1170,2020-04-27,18,3928,94.77399,2020-04-27,0.0815,320,AM,95,16
1197,2020-04-28,18,4337,104.64226,2020-04-28,0.0809,351,AM,409,31
1223,2020-04-29,18,4801,115.83756000000001,2020-04-29,0.0792,380,AM,464,29
1249,2020-04-30,18,5254,126.76745,2020-04-30,0.0809,425,AM,453,45
1276,2020-05-01,18,5723,138.08338999999998,2020-05-01,0.0832,476,AM,469,51
1303,2020-05-02,18,6062,146.26271,2020-05-02,0.0826,501,AM,339,25
1329,2020-05-03,19,6683,161.24608,2020-05-03,0.08199999999999999,548,AM,621,47
1356,2020-05-04,19,7313,176.44659,2020-05-04,0.08,585,AM,630,37
1383,2020-05-05,19,8109,195.65232,2020-05-05,0.08,649,AM,796,64
1410,2020-05-06,19,9243,223.01324,2020-05-06,0.0813,751,AM,1134,102
1437,2020-05-07,19,10099,243.66662999999997,2020-05-07,0.0798,806,AM,856,55
1464,2020-05-08,19,10727,258.81889,2020-05-08,0.0815,874,AM,628,68
1491,2020-05-09,19,11925,287.72399,2020-05-09,0.0807,962,AM,1198,88
1517,2020-05-10,20,12599,303.98613,2020-05-10,0.0797,1004,AM,674,42
1544,2020-05-11,20,12919,311.70702,2020-05-11,0.0801,1035,AM,320,31
1571,2020-05-12,20,14168,341.84264,2020-05-12,0.0775,1098,AM,1249,63
1598,2020-05-13,20,15816,381.60526,2020-05-13,0.0733,1160,AM,1648,62
1625,2020-05-14,20,17181,414.5397,2020-05-14,0.0719,1235,AM,1365,75
1652,2020-05-15,20,18392,443.75845999999996,2020-05-15,0.0724,1331,AM,1211,96
1678,2020-05-16,20,19677,474.76269,2020-05-16,0.0699,1375,AM,1285,44
1704,2020-05-17,21,20328,490.46988,2020-05-17,0.0695,1413,AM,651,38
1731,2020-05-18,21,20913,504.58464000000004,2020-05-18,0.0685,1433,AM,585,20
1758,2020-05-19,21,22132,533.99643,2020-05-19,0.0674,1491,AM,1219,58
1785,2020-05-20,21,23704,571.92533,2020-05-20,0.0659,1561,AM,1572,70
1812,2020-05-21,21,25367,612.04986,2020-05-21,0.0639,1620,AM,1663,59
1838,2020-05-22,21,27038,652.36741,2020-05-22,0.0617,1669,AM,1671,49
1865,2020-05-23,21,28802,694.92884,2020-05-23,0.0606,1744,AM,1764,75
1890,2020-05-24,22,29867,720.62495,2020-05-24,0.0589,1758,AM,1065,14
