index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
12,2020-03-06,10,1,0.00672,2020-03-06,0.0,0,BA,1,0
16,2020-03-07,10,2,0.01345,2020-03-07,0.0,0,BA,1,0
27,2020-03-09,11,2,0.01345,2020-03-09,0.0,0,BA,0,0
33,2020-03-10,11,2,0.01345,2020-03-10,0.0,0,BA,0,0
39,2020-03-11,11,3,0.02017,2020-03-11,0.0,0,BA,1,0
46,2020-03-12,11,3,0.02017,2020-03-12,0.0,0,BA,0,0
61,2020-03-13,11,7,0.047060000000000005,2020-03-13,0.0,0,BA,4,0
82,2020-03-15,12,9,0.06051,2020-03-15,0.0,0,BA,2,0
92,2020-03-16,12,10,0.06724,2020-03-16,0.0,0,BA,1,0
110,2020-03-17,12,14,0.09412999999999999,2020-03-17,0.0,0,BA,4,0
124,2020-03-18,12,27,0.18154,2020-03-18,0.0,0,BA,13,0
145,2020-03-19,12,31,0.20843000000000003,2020-03-19,0.0,0,BA,4,0
166,2020-03-20,12,34,0.2286,2020-03-20,0.0,0,BA,3,0
191,2020-03-21,12,41,0.27566999999999997,2020-03-21,0.0,0,BA,7,0
217,2020-03-22,13,55,0.3698,2020-03-22,0.0,0,BA,14,0
243,2020-03-23,13,63,0.42358,2020-03-23,0.0,0,BA,8,0
267,2020-03-24,13,79,0.5311600000000001,2020-03-24,0.0,0,BA,16,0
294,2020-03-25,13,91,0.6118399999999999,2020-03-25,0.0,0,BA,12,0
321,2020-03-26,13,108,0.72614,2020-03-26,0.0,0,BA,17,0
347,2020-03-27,13,123,0.8270000000000001,2020-03-27,0.0,0,BA,15,0
374,2020-03-28,13,127,0.8538899999999999,2020-03-28,0.0,0,BA,4,0
399,2020-03-29,14,156,1.04888,2020-03-29,0.0064,1,BA,29,1
422,2020-03-30,14,176,1.18335,2020-03-30,0.0114,2,BA,20,1
449,2020-03-31,14,217,1.4590100000000001,2020-03-31,0.0092,2,BA,41,0
476,2020-04-01,14,246,1.6540000000000001,2020-04-01,0.0081,2,BA,29,0
503,2020-04-02,14,267,1.79519,2020-04-02,0.0112,3,BA,21,1
530,2020-04-03,14,290,1.94983,2020-04-03,0.0207,6,BA,23,3
557,2020-04-04,14,336,2.2591200000000002,2020-04-04,0.0208,7,BA,46,1
584,2020-04-05,15,401,2.69615,2020-04-05,0.0224,9,BA,65,2
610,2020-04-06,15,437,2.9382,2020-04-06,0.0229,10,BA,36,1
636,2020-04-07,15,462,3.10629,2020-04-07,0.0303,14,BA,25,4
663,2020-04-08,15,515,3.46264,2020-04-08,0.035,18,BA,53,4
690,2020-04-09,15,568,3.8189800000000003,2020-04-09,0.0335,19,BA,53,1
716,2020-04-10,15,616,4.141719999999999,2020-04-10,0.0308,19,BA,48,0
743,2020-04-11,15,640,4.3030800000000005,2020-04-11,0.0328,21,BA,24,2
770,2020-04-12,16,674,4.531680000000001,2020-04-12,0.0312,21,BA,34,0
796,2020-04-13,16,723,4.86114,2020-04-13,0.0304,22,BA,49,1
822,2020-04-14,16,776,5.21749,2020-04-14,0.0335,26,BA,53,4
849,2020-04-15,16,884,5.943630000000001,2020-04-15,0.0317,28,BA,108,2
876,2020-04-16,16,967,6.50169,2020-04-16,0.0352,34,BA,83,6
903,2020-04-17,16,1064,7.1538699999999995,2020-04-17,0.0338,36,BA,97,2
930,2020-04-18,16,1200,8.06828,2020-04-18,0.0333,40,BA,136,4
957,2020-04-19,17,1249,8.397730000000001,2020-04-19,0.036000000000000004,45,BA,49,5
984,2020-04-20,17,1377,9.25835,2020-04-20,0.0341,47,BA,128,2
1011,2020-04-21,17,1504,10.11224,2020-04-21,0.0319,48,BA,127,1
1038,2020-04-22,17,1645,11.060260000000001,2020-04-22,0.0322,53,BA,141,5
1064,2020-04-23,17,1845,12.40498,2020-04-23,0.0336,62,BA,200,9
1091,2020-04-24,17,1979,13.305929999999998,2020-04-24,0.0339,67,BA,134,5
1118,2020-04-25,17,2116,14.22706,2020-04-25,0.034,72,BA,137,5
1145,2020-04-26,18,2248,15.11457,2020-04-26,0.0329,74,BA,132,2
1172,2020-04-27,18,2356,15.840720000000001,2020-04-27,0.0352,83,BA,108,9
1199,2020-04-28,18,2564,17.23922,2020-04-28,0.0363,93,BA,208,10
1225,2020-04-29,18,2676,17.99226,2020-04-29,0.0374,100,BA,112,7
1251,2020-04-30,18,2867,19.27646,2020-04-30,0.037000000000000005,106,BA,191,6
1278,2020-05-01,18,3140,21.11199,2020-05-01,0.0373,117,BA,273,11
1305,2020-05-02,18,3315,22.28862,2020-05-02,0.0371,123,BA,175,6
1331,2020-05-03,19,3566,23.976229999999997,2020-05-03,0.0359,128,BA,251,5
1358,2020-05-04,19,3734,25.10579,2020-05-04,0.0378,141,BA,168,13
1385,2020-05-05,19,4040,27.1632,2020-05-05,0.0361,146,BA,306,5
1412,2020-05-06,19,4301,28.91805,2020-05-06,0.0372,160,BA,261,14
1439,2020-05-07,19,4528,30.4443,2020-05-07,0.0364,165,BA,227,5
1466,2020-05-08,19,4818,32.39413,2020-05-08,0.038,183,BA,290,18
1493,2020-05-09,19,5174,34.78772,2020-05-09,0.0379,196,BA,356,13
1519,2020-05-10,20,5558,37.36957,2020-05-10,0.0363,202,BA,384,6
1546,2020-05-11,20,5808,39.05046,2020-05-11,0.0368,214,BA,250,12
1573,2020-05-12,20,6204,41.712990000000005,2020-05-12,0.0363,225,BA,396,11
1600,2020-05-13,20,6547,44.01917,2020-05-13,0.036000000000000004,236,BA,343,11
1627,2020-05-14,20,6955,46.76239,2020-05-14,0.0377,262,BA,408,26
1654,2020-05-15,20,8128,54.64913000000001,2020-05-15,0.0346,281,BA,1173,19
1680,2020-05-16,20,8314,55.89971,2020-05-16,0.0344,286,BA,186,5
1706,2020-05-17,21,8443,56.76705,2020-05-17,0.0349,295,BA,129,9
1733,2020-05-18,21,8881,59.711969999999994,2020-05-18,0.0351,312,BA,438,17
1760,2020-05-19,21,11013,74.04661,2020-05-19,0.0296,326,BA,2132,14
1787,2020-05-20,21,11197,75.28375,2020-05-20,0.0323,362,BA,184,36
1814,2020-05-21,21,11941,80.28608,2020-05-21,0.0315,376,BA,744,14
1840,2020-05-22,21,12557,84.4278,2020-05-22,0.0318,399,BA,616,23
1866,2020-05-23,21,13000,87.40633000000001,2020-05-23,0.0318,413,BA,443,14
1892,2020-05-24,22,13899,93.45082,2020-05-24,0.0331,460,BA,899,47
1918,2020-05-25,22,14204,95.50151,2020-05-25,0.0336,477,BA,305,17
1945,2020-05-26,22,14566,97.93544,2020-05-26,0.034,495,BA,362,18
1972,2020-05-27,22,15070,101.32411,2020-05-27,0.0352,531,BA,504,36
1997,2020-05-28,22,15963,107.32825,2020-05-28,0.0357,570,BA,893,39
2024,2020-05-29,22,16917,113.74253,2020-05-29,0.036000000000000004,609,BA,954,39
2051,2020-05-30,22,17626,118.50953999999999,2020-05-30,0.0362,638,BA,709,29
2077,2020-05-31,23,18392,123.65978999999999,2020-05-31,0.0363,667,BA,766,29
2104,2020-06-01,23,18898,127.06192,2020-06-01,0.0371,701,BA,506,34
2130,2020-06-02,23,21430,144.08598,2020-06-02,0.0343,736,BA,2532,35
2157,2020-06-03,23,22451,150.95074,2020-06-03,0.0339,762,BA,1021,26
2183,2020-06-04,23,23463,157.75499,2020-06-04,0.0337,790,BA,1012,28
2209,2020-06-05,23,26419,177.62984,2020-06-05,0.031,819,BA,2956,29
2236,2020-06-06,23,27396,184.19876000000002,2020-06-06,0.0309,846,BA,977,27
2262,2020-06-07,24,28250,189.94069,2020-06-07,0.0311,879,BA,854,33
2289,2020-06-08,24,28715,193.06714,2020-06-08,0.0317,910,BA,465,31
2316,2020-06-09,24,30481,204.94096000000002,2020-06-09,0.0307,937,BA,1766,27
