index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
93,2020-03-16,12,9,0.09855,2020-03-16,0.0,0,CE,9,0
111,2020-03-17,12,10,0.1095,2020-03-17,0.0,0,CE,1,0
125,2020-03-18,12,19,0.20806,2020-03-18,0.0,0,CE,9,0
146,2020-03-19,12,24,0.26281,2020-03-19,0.0,0,CE,5,0
167,2020-03-20,12,68,0.74463,2020-03-20,0.0,0,CE,44,0
192,2020-03-21,12,84,0.9198299999999999,2020-03-21,0.0,0,CE,16,0
218,2020-03-22,13,125,1.3688,2020-03-22,0.0,0,CE,41,0
244,2020-03-23,13,164,1.79587,2020-03-23,0.0,0,CE,39,0
268,2020-03-24,13,185,2.02583,2020-03-24,0.0,0,CE,21,0
295,2020-03-25,13,211,2.31054,2020-03-25,0.0,0,CE,26,0
322,2020-03-26,13,237,2.59525,2020-03-26,0.0127,3,CE,26,3
348,2020-03-27,13,282,3.08802,2020-03-27,0.0106,3,CE,45,0
375,2020-03-28,13,322,3.5260300000000004,2020-03-28,0.0124,4,CE,40,1
400,2020-03-29,14,359,3.9312,2020-03-29,0.0139,5,CE,37,1
423,2020-03-30,14,382,4.18306,2020-03-30,0.0131,5,CE,23,0
450,2020-03-31,14,401,4.39111,2020-03-31,0.0175,7,CE,19,2
477,2020-04-01,14,445,4.87293,2020-04-01,0.0202,9,CE,44,2
504,2020-04-02,14,563,6.165080000000001,2020-04-02,0.0373,21,CE,118,12
531,2020-04-03,14,658,7.205369999999999,2020-04-03,0.0334,22,CE,95,1
558,2020-04-04,14,745,8.15806,2020-04-04,0.0309,23,CE,87,1
585,2020-04-05,15,960,10.51239,2020-04-05,0.0365,35,CE,215,12
611,2020-04-06,15,1045,11.44318,2020-04-06,0.0335,35,CE,85,0
637,2020-04-07,15,1188,13.009089999999999,2020-04-07,0.0337,40,CE,143,5
664,2020-04-08,15,1394,15.264870000000002,2020-04-08,0.0409,57,CE,206,17
691,2020-04-09,15,1445,15.82334,2020-04-09,0.0394,57,CE,51,0
717,2020-04-10,15,1558,17.06074,2020-04-10,0.043,67,CE,113,10
744,2020-04-11,15,1668,18.265279999999997,2020-04-11,0.0444,74,CE,110,7
771,2020-04-12,16,1747,19.130370000000003,2020-04-12,0.0435,76,CE,79,2
797,2020-04-13,16,1935,21.18904,2020-04-13,0.0522,101,CE,188,25
823,2020-04-14,16,2070,22.66735,2020-04-14,0.0536,111,CE,135,10
850,2020-04-15,16,2291,25.08739,2020-04-15,0.0541,124,CE,221,13
877,2020-04-16,16,2412,26.412390000000002,2020-04-16,0.055999999999999994,135,CE,121,11
904,2020-04-17,16,2747,30.080779999999997,2020-04-17,0.0564,155,CE,335,20
931,2020-04-18,16,3062,33.530159999999995,2020-04-18,0.0588,180,CE,315,25
958,2020-04-19,17,3306,36.202059999999996,2020-04-19,0.0572,189,CE,244,9
985,2020-04-20,17,3485,38.16218,2020-04-20,0.0591,206,CE,179,17
1012,2020-04-21,17,3682,40.31941,2020-04-21,0.06,221,CE,197,15
1039,2020-04-22,17,4116,45.07189,2020-04-22,0.0581,239,CE,434,18
1065,2020-04-23,17,4702,51.48883,2020-04-23,0.0576,271,CE,586,32
1092,2020-04-24,17,5121,56.07705,2020-04-24,0.0572,293,CE,419,22
1119,2020-04-25,17,5667,62.055969999999995,2020-04-25,0.0575,326,CE,546,33
1146,2020-04-26,18,6260,68.54956999999999,2020-04-26,0.0601,376,CE,593,50
1173,2020-04-27,18,6783,74.27663000000001,2020-04-27,0.0585,397,CE,523,21
1200,2020-04-28,18,6985,76.48862,2020-04-28,0.0597,417,CE,202,20
1226,2020-04-29,18,7409,81.13159,2020-04-29,0.0607,450,CE,424,33
1252,2020-04-30,18,7861,86.08117,2020-04-30,0.0626,492,CE,452,42
1279,2020-05-01,18,8000,87.60328,2020-05-01,0.0674,539,CE,139,47
1306,2020-05-02,18,8309,90.98696,2020-05-02,0.0768,638,CE,309,99
1332,2020-05-03,19,8379,91.75349,2020-05-03,0.0808,677,CE,70,39
1359,2020-05-04,19,11040,120.89253000000001,2020-05-04,0.0645,712,CE,2661,35
1386,2020-05-05,19,11470,125.6012,2020-05-05,0.0693,795,CE,430,83
1413,2020-05-06,19,12310,134.79955,2020-05-06,0.069,849,CE,840,54
1440,2020-05-07,19,13888,152.0793,2020-05-07,0.065,903,CE,1578,54
1467,2020-05-08,19,15134,165.72351,2020-05-08,0.0659,997,CE,1246,94
1494,2020-05-09,19,15879,173.88156,2020-05-09,0.0669,1062,CE,745,65
1520,2020-05-10,20,16692,182.78425,2020-05-10,0.0667,1114,CE,813,52
1547,2020-05-11,20,17599,192.71627,2020-05-11,0.0676,1189,CE,907,75
1574,2020-05-12,20,18412,201.61895,2020-05-12,0.0695,1280,CE,813,91
1601,2020-05-13,20,19156,209.76606,2020-05-13,0.0725,1389,CE,744,109
1628,2020-05-14,20,21077,230.8018,2020-05-14,0.067,1413,CE,1921,24
1655,2020-05-15,20,23059,252.50551000000002,2020-05-15,0.0679,1566,CE,1982,153
1681,2020-05-16,20,23795,260.56501000000003,2020-05-16,0.0678,1614,CE,736,48
1707,2020-05-17,21,24255,265.6022,2020-05-17,0.0677,1641,CE,460,27
1734,2020-05-18,21,26363,288.68566,2020-05-18,0.0663,1748,CE,2108,107
1761,2020-05-19,21,28112,307.83793,2020-05-19,0.066,1856,CE,1749,108
1788,2020-05-20,21,30560,334.64454,2020-05-20,0.0622,1900,CE,2448,44
1815,2020-05-21,21,31413,343.98524,2020-05-21,0.0688,2161,CE,853,261
1841,2020-05-22,21,34573,378.58853,2020-05-22,0.0651,2251,CE,3160,90
1867,2020-05-23,21,35122,384.60031000000004,2020-05-23,0.0657,2308,CE,549,57
1893,2020-05-24,22,35595,389.77985,2020-05-24,0.0653,2324,CE,473,16
1919,2020-05-25,22,36185,396.24059,2020-05-25,0.0689,2493,CE,590,169
1946,2020-05-26,22,37021,405.39513999999997,2020-05-26,0.0703,2603,CE,836,110
1973,2020-05-27,22,37275,408.17654,2020-05-27,0.0717,2671,CE,254,68
1998,2020-05-28,22,37821,414.15546,2020-05-28,0.0723,2733,CE,546,62
2025,2020-05-29,22,38395,420.441,2020-05-29,0.0745,2859,CE,574,126
2052,2020-05-30,22,47822,523.67052,2020-05-30,0.0618,2956,CE,9427,97
2078,2020-05-31,23,48489,530.9744400000001,2020-05-31,0.0621,3010,CE,667,54
2105,2020-06-01,23,50504,553.03952,2020-06-01,0.0631,3188,CE,2015,178
2131,2020-06-02,23,54683,598.80128,2020-06-02,0.0641,3504,CE,4179,316
