index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
17,2020-03-07,10,1,0.03316,2020-03-07,0.0,0,DF,1,0
21,2020-03-08,11,1,0.03316,2020-03-08,0.0,0,DF,0,0
28,2020-03-09,11,1,0.03316,2020-03-09,0.0,0,DF,0,0
34,2020-03-10,11,1,0.03316,2020-03-10,0.0,0,DF,0,0
40,2020-03-11,11,2,0.06633,2020-03-11,0.0,0,DF,1,0
47,2020-03-12,11,2,0.06633,2020-03-12,0.0,0,DF,0,0
62,2020-03-13,11,2,0.06633,2020-03-13,0.0,0,DF,0,0
72,2020-03-14,11,8,0.26532,2020-03-14,0.0,0,DF,6,0
83,2020-03-15,12,14,0.4643,2020-03-15,0.0,0,DF,6,0
94,2020-03-16,12,19,0.63013,2020-03-16,0.0,0,DF,5,0
126,2020-03-18,12,34,1.1275899999999999,2020-03-18,0.0,0,DF,15,0
147,2020-03-19,12,42,1.39291,2020-03-19,0.0,0,DF,8,0
168,2020-03-20,12,87,2.88532,2020-03-20,0.0,0,DF,45,0
193,2020-03-21,12,108,3.5817699999999997,2020-03-21,0.0,0,DF,21,0
219,2020-03-22,13,117,3.88025,2020-03-22,0.0,0,DF,9,0
245,2020-03-23,13,138,4.57671,2020-03-23,0.0,0,DF,21,0
269,2020-03-24,13,161,5.3394900000000005,2020-03-24,0.0,0,DF,23,0
296,2020-03-25,13,195,6.46709,2020-03-25,0.0,0,DF,34,0
323,2020-03-26,13,201,6.6660699999999995,2020-03-26,0.0,0,DF,6,0
349,2020-03-27,13,241,7.992660000000001,2020-03-27,0.0,0,DF,40,0
376,2020-03-28,13,260,8.62278,2020-03-28,0.0,0,DF,19,0
401,2020-03-29,14,298,9.88304,2020-03-29,0.0034,1,DF,38,1
424,2020-03-30,14,312,10.347339999999999,2020-03-30,0.0064,2,DF,14,1
451,2020-03-31,14,333,11.04379,2020-03-31,0.009000000000000001,3,DF,21,1
478,2020-04-01,14,370,12.27088,2020-04-01,0.0108,4,DF,37,1
505,2020-04-02,14,400,13.265820000000001,2020-04-02,0.0125,5,DF,30,1
532,2020-04-03,14,419,13.89595,2020-04-03,0.0143,6,DF,19,1
559,2020-04-04,14,456,15.123029999999998,2020-04-04,0.0154,7,DF,37,1
586,2020-04-05,15,468,15.52101,2020-04-05,0.015,7,DF,12,0
612,2020-04-06,15,485,16.08481,2020-04-06,0.0206,10,DF,17,3
638,2020-04-07,15,503,16.68177,2020-04-07,0.0239,12,DF,18,2
665,2020-04-08,15,509,16.88075,2020-04-08,0.0236,12,DF,6,0
692,2020-04-09,15,527,17.47772,2020-04-09,0.0247,13,DF,18,1
718,2020-04-10,15,556,18.43949,2020-04-10,0.0252,14,DF,29,1
