index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
9,2020-03-05,10,1,0.024880000000000003,2020-03-05,0.0,0,ES,1,0
13,2020-03-06,10,1,0.024880000000000003,2020-03-06,0.0,0,ES,0,0
18,2020-03-07,10,1,0.024880000000000003,2020-03-07,0.0,0,ES,0,0
22,2020-03-08,11,1,0.024880000000000003,2020-03-08,0.0,0,ES,0,0
29,2020-03-09,11,1,0.024880000000000003,2020-03-09,0.0,0,ES,0,0
35,2020-03-10,11,1,0.024880000000000003,2020-03-10,0.0,0,ES,0,0
41,2020-03-11,11,1,0.024880000000000003,2020-03-11,0.0,0,ES,0,0
48,2020-03-12,11,2,0.04977,2020-03-12,0.0,0,ES,1,0
63,2020-03-13,11,2,0.04977,2020-03-13,0.0,0,ES,0,0
73,2020-03-14,11,4,0.09954,2020-03-14,0.0,0,ES,2,0
84,2020-03-15,12,4,0.09954,2020-03-15,0.0,0,ES,0,0
95,2020-03-16,12,8,0.19907,2020-03-16,0.0,0,ES,4,0
112,2020-03-17,12,8,0.19907,2020-03-17,0.0,0,ES,0,0
127,2020-03-18,12,11,0.27371999999999996,2020-03-18,0.0,0,ES,3,0
148,2020-03-19,12,13,0.32349,2020-03-19,0.0,0,ES,2,0
169,2020-03-20,12,16,0.39814,2020-03-20,0.0,0,ES,3,0
194,2020-03-21,12,26,0.64698,2020-03-21,0.0,0,ES,10,0
220,2020-03-22,13,26,0.64698,2020-03-22,0.0,0,ES,0,0
246,2020-03-23,13,33,0.8211700000000001,2020-03-23,0.0,0,ES,7,0
270,2020-03-24,13,40,0.99536,2020-03-24,0.0,0,ES,7,0
297,2020-03-25,13,40,0.99536,2020-03-25,0.0,0,ES,0,0
324,2020-03-26,13,48,1.1944299999999999,2020-03-26,0.0,0,ES,8,0
350,2020-03-27,13,54,1.3437299999999999,2020-03-27,0.0,0,ES,6,0
377,2020-03-28,13,61,1.5179200000000002,2020-03-28,0.0,0,ES,7,0
402,2020-03-29,14,72,1.79165,2020-03-29,0.0,0,ES,11,0
425,2020-03-30,14,85,2.1151400000000002,2020-03-30,0.0,0,ES,13,0
452,2020-03-31,14,97,2.41375,2020-03-31,0.0,0,ES,12,0
479,2020-04-01,14,120,2.98608,2020-04-01,0.0,0,ES,23,0
506,2020-04-02,14,139,3.4588699999999997,2020-04-02,0.0144,2,ES,19,2
533,2020-04-03,14,153,3.80725,2020-04-03,0.0327,5,ES,14,3
560,2020-04-04,14,166,4.13074,2020-04-04,0.0361,6,ES,13,1
587,2020-04-05,15,194,4.82749,2020-04-05,0.0309,6,ES,28,0
613,2020-04-06,15,209,5.20075,2020-04-06,0.0287,6,ES,15,0
639,2020-04-07,15,227,5.64866,2020-04-07,0.0264,6,ES,18,0
666,2020-04-08,15,273,6.79333,2020-04-08,0.022000000000000002,6,ES,46,0
693,2020-04-09,15,300,7.46519,2020-04-09,0.0233,7,ES,27,1
719,2020-04-10,15,349,8.684510000000001,2020-04-10,0.0229,8,ES,49,1
746,2020-04-11,15,383,9.530560000000001,2020-04-11,0.0235,9,ES,34,1
