index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
49,2020-03-12,11,3,0.04275,2020-03-12,0.0,0,GO,3,0
64,2020-03-13,11,3,0.04275,2020-03-13,0.0,0,GO,0,0
74,2020-03-14,11,4,0.05699,2020-03-14,0.0,0,GO,1,0
85,2020-03-15,12,4,0.05699,2020-03-15,0.0,0,GO,0,0
96,2020-03-16,12,9,0.12824000000000002,2020-03-16,0.0,0,GO,5,0
113,2020-03-17,12,10,0.14248,2020-03-17,0.0,0,GO,1,0
128,2020-03-18,12,12,0.17098,2020-03-18,0.0,0,GO,2,0
149,2020-03-19,12,15,0.21373000000000003,2020-03-19,0.0,0,GO,3,0
170,2020-03-20,12,18,0.25647,2020-03-20,0.0,0,GO,3,0
195,2020-03-21,12,19,0.27071999999999996,2020-03-21,0.0,0,GO,1,0
221,2020-03-22,13,21,0.29922,2020-03-22,0.0,0,GO,2,0
247,2020-03-23,13,23,0.32771,2020-03-23,0.0,0,GO,2,0
271,2020-03-24,13,29,0.4132,2020-03-24,0.0,0,GO,6,0
298,2020-03-25,13,35,0.49868999999999997,2020-03-25,0.0,0,GO,6,0
325,2020-03-26,13,38,0.5414399999999999,2020-03-26,0.0263,1,GO,3,1
351,2020-03-27,13,49,0.69817,2020-03-27,0.0204,1,GO,11,0
378,2020-03-28,13,56,0.79791,2020-03-28,0.0179,1,GO,7,0
403,2020-03-29,14,56,0.79791,2020-03-29,0.0179,1,GO,0,0
426,2020-03-30,14,60,0.8549,2020-03-30,0.0167,1,GO,4,0
453,2020-03-31,14,65,0.92614,2020-03-31,0.0154,1,GO,5,0
480,2020-04-01,14,73,1.04013,2020-04-01,0.0137,1,GO,8,0
507,2020-04-02,14,73,1.04013,2020-04-02,0.0137,1,GO,0,0
534,2020-04-03,14,88,1.25386,2020-04-03,0.0227,2,GO,15,1
561,2020-04-04,14,103,1.4675799999999999,2020-04-04,0.0194,2,GO,15,0
588,2020-04-05,15,115,1.6385599999999998,2020-04-05,0.0261,3,GO,12,1
614,2020-04-06,15,119,1.69555,2020-04-06,0.042,5,GO,4,2
640,2020-04-07,15,133,1.89503,2020-04-07,0.0376,5,GO,14,0
667,2020-04-08,15,159,2.2654900000000002,2020-04-08,0.044000000000000004,7,GO,26,2
694,2020-04-09,15,179,2.5504599999999997,2020-04-09,0.0391,7,GO,20,0
720,2020-04-10,15,191,2.7214400000000003,2020-04-10,0.0419,8,GO,12,1
747,2020-04-11,15,209,2.97791,2020-04-11,0.0478,10,GO,18,2
774,2020-04-12,16,229,3.26287,2020-04-12,0.0611,14,GO,20,4
800,2020-04-13,16,233,3.31987,2020-04-13,0.0644,15,GO,4,1
826,2020-04-14,16,284,4.046530000000001,2020-04-14,0.0528,15,GO,51,0
853,2020-04-15,16,304,4.3315,2020-04-15,0.0493,15,GO,20,0
880,2020-04-16,16,318,4.5309800000000005,2020-04-16,0.0503,16,GO,14,1
907,2020-04-17,16,335,4.7732,2020-04-17,0.0478,16,GO,17,0
934,2020-04-18,16,378,5.38588,2020-04-18,0.0476,18,GO,43,2
961,2020-04-19,17,393,5.5996,2020-04-19,0.0458,18,GO,15,0
988,2020-04-20,17,403,5.74209,2020-04-20,0.0471,19,GO,10,1
1015,2020-04-21,17,421,5.9985599999999994,2020-04-21,0.0451,19,GO,18,0
1042,2020-04-22,17,438,6.24078,2020-04-22,0.0479,21,GO,17,2
1068,2020-04-23,17,453,6.4545,2020-04-23,0.0508,23,GO,15,2
1095,2020-04-24,17,486,6.9247,2020-04-24,0.0494,24,GO,33,1
1122,2020-04-25,17,506,7.20967,2020-04-25,0.0494,25,GO,20,1
1149,2020-04-26,18,573,8.16431,2020-04-26,0.0436,25,GO,67,0
1176,2020-04-27,18,616,8.77699,2020-04-27,0.0422,26,GO,43,1
1203,2020-04-28,18,661,9.41816,2020-04-28,0.0408,27,GO,45,1
1229,2020-04-29,18,705,10.04509,2020-04-29,0.0383,27,GO,44,0
1255,2020-04-30,18,781,11.12797,2020-04-30,0.0371,29,GO,76,2
1282,2020-05-01,18,808,11.51267,2020-05-01,0.0359,29,GO,27,0
1309,2020-05-02,18,825,11.75489,2020-05-02,0.0364,30,GO,17,1
1335,2020-05-03,19,850,12.1111,2020-05-03,0.0353,30,GO,25,0
1362,2020-05-04,19,861,12.26783,2020-05-04,0.0348,30,GO,11,0
1389,2020-05-05,19,922,13.13698,2020-05-05,0.0412,38,GO,61,8
1416,2020-05-06,19,1024,14.590320000000002,2020-05-06,0.0439,45,GO,102,7
1443,2020-05-07,19,1027,14.63306,2020-05-07,0.0428,44,GO,3,-1
1470,2020-05-08,19,1053,15.003520000000002,2020-05-08,0.0465,49,GO,26,5
1497,2020-05-09,19,1069,15.231489999999999,2020-05-09,0.044000000000000004,47,GO,16,-2
1523,2020-05-10,20,1093,15.57345,2020-05-10,0.043,47,GO,24,0
1550,2020-05-11,20,1100,15.67319,2020-05-11,0.0445,49,GO,7,2
