index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
171,2020-03-20,12,1,0.014130000000000002,2020-03-20,0.0,0,MA,1,0
196,2020-03-21,12,2,0.02827,2020-03-21,0.0,0,MA,1,0
222,2020-03-22,13,2,0.02827,2020-03-22,0.0,0,MA,0,0
248,2020-03-23,13,8,0.11307,2020-03-23,0.0,0,MA,6,0
272,2020-03-24,13,8,0.11307,2020-03-24,0.0,0,MA,0,0
299,2020-03-25,13,8,0.11307,2020-03-25,0.0,0,MA,0,0
326,2020-03-26,13,10,0.14134000000000002,2020-03-26,0.0,0,MA,2,0
352,2020-03-27,13,13,0.18374000000000001,2020-03-27,0.0,0,MA,3,0
379,2020-03-28,13,15,0.21201,2020-03-28,0.0,0,MA,2,0
404,2020-03-29,14,21,0.29681,2020-03-29,0.0476,1,MA,6,1
427,2020-03-30,14,30,0.42402,2020-03-30,0.0333,1,MA,9,0
454,2020-03-31,14,51,0.72083,2020-03-31,0.0196,1,MA,21,0
481,2020-04-01,14,70,0.9893700000000001,2020-04-01,0.0143,1,MA,19,0
508,2020-04-02,14,80,1.13071,2020-04-02,0.0125,1,MA,10,0
535,2020-04-03,14,87,1.22965,2020-04-03,0.0115,1,MA,7,0
562,2020-04-04,14,95,1.3427200000000001,2020-04-04,0.0211,2,MA,8,1
589,2020-04-05,15,132,1.86568,2020-04-05,0.0152,2,MA,37,0
615,2020-04-06,15,171,2.4169,2020-04-06,0.0234,4,MA,39,2
641,2020-04-07,15,229,3.23667,2020-04-07,0.048,11,MA,58,7
668,2020-04-08,15,272,3.8444199999999995,2020-04-08,0.0441,12,MA,43,1
695,2020-04-09,15,293,4.14124,2020-04-09,0.0546,16,MA,21,4
721,2020-04-10,15,344,4.86207,2020-04-10,0.061,21,MA,51,5
748,2020-04-11,15,398,5.6253,2020-04-11,0.0603,24,MA,54,3
775,2020-04-12,16,445,6.2895900000000005,2020-04-12,0.0607,27,MA,47,3
801,2020-04-13,16,478,6.756010000000001,2020-04-13,0.0669,32,MA,33,5
827,2020-04-14,16,630,8.90437,2020-04-14,0.054000000000000006,34,MA,152,2
854,2020-04-15,16,695,9.82307,2020-04-15,0.0532,37,MA,65,3
881,2020-04-16,16,797,11.26473,2020-04-16,0.0502,40,MA,102,3
908,2020-04-17,16,1040,14.69927,2020-04-17,0.0423,44,MA,243,4
935,2020-04-18,16,1205,17.031370000000003,2020-04-18,0.0398,48,MA,165,4
962,2020-04-19,17,1320,18.65677,2020-04-19,0.0409,54,MA,115,6
989,2020-04-20,17,1396,19.73094,2020-04-20,0.043,60,MA,76,6
1016,2020-04-21,17,1604,22.6708,2020-04-21,0.0411,66,MA,208,6
1043,2020-04-22,17,1757,24.833289999999998,2020-04-22,0.0433,76,MA,153,10
1069,2020-04-23,17,1951,27.57527,2020-04-23,0.0451,88,MA,194,12
1096,2020-04-24,17,2105,29.751890000000003,2020-04-24,0.0475,100,MA,154,12
1123,2020-04-25,17,2223,31.419690000000003,2020-04-25,0.0504,112,MA,118,12
1150,2020-04-26,18,2410,34.06273,2020-04-26,0.0519,125,MA,187,13
1177,2020-04-27,18,2528,35.73053,2020-04-27,0.0574,145,MA,118,20
1204,2020-04-28,18,2804,39.63149,2020-04-28,0.0592,166,MA,276,21
1230,2020-04-29,18,3190,45.08719,2020-04-29,0.0577,184,MA,386,18
1256,2020-04-30,18,3506,49.5535,2020-04-30,0.0582,204,MA,316,20
1283,2020-05-01,18,3805,53.779540000000004,2020-05-01,0.0589,224,MA,299,20
1310,2020-05-02,18,4040,57.101009999999995,2020-05-02,0.0587,237,MA,235,13
1336,2020-05-03,19,4227,59.74405,2020-05-03,0.0589,249,MA,187,12
1363,2020-05-04,19,4530,64.02663000000001,2020-05-04,0.0598,271,MA,303,22
1390,2020-05-05,19,5028,71.06532,2020-05-05,0.0579,291,MA,498,20
1417,2020-05-06,19,5389,76.16766,2020-05-06,0.0566,305,MA,361,14
1444,2020-05-07,19,5909,83.5173,2020-05-07,0.0558,330,MA,520,25
1471,2020-05-08,19,6765,95.61593,2020-05-08,0.0525,355,MA,856,25
1498,2020-05-09,19,7599,107.40361000000001,2020-05-09,0.0499,379,MA,834,24
1524,2020-05-10,20,8144,115.1066,2020-05-10,0.049,399,MA,545,20
1551,2020-05-11,20,8526,120.50575,2020-05-11,0.0496,423,MA,382,24
1578,2020-05-12,20,9112,128.78822,2020-05-12,0.0487,444,MA,586,21
1605,2020-05-13,20,9801,138.52649,2020-05-13,0.048,470,MA,689,26
1632,2020-05-14,20,10739,151.7841,2020-05-14,0.0462,496,MA,938,26
1659,2020-05-15,20,11592,163.84033,2020-05-15,0.0452,524,MA,853,28
1685,2020-05-16,20,12492,176.56085,2020-05-16,0.0439,549,MA,900,25
1711,2020-05-17,21,13238,187.10475,2020-05-17,0.0435,576,MA,746,27
1738,2020-05-18,21,14198,200.67331000000001,2020-05-18,0.0425,604,MA,960,28
1765,2020-05-19,21,15114,213.61997999999997,2020-05-19,0.0419,634,MA,916,30
1792,2020-05-20,21,16058,226.96239,2020-05-20,0.0413,663,MA,944,29
1819,2020-05-21,21,17212,243.27292999999997,2020-05-21,0.0403,693,MA,1154,30
1845,2020-05-22,21,18767,265.25116,2020-05-22,0.0385,722,MA,1555,29
