index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
76,2020-03-14,11,2,0.07197,2020-03-14,0.0,0,MS,2,0
86,2020-03-15,12,2,0.07197,2020-03-15,0.0,0,MS,0,0
98,2020-03-16,12,4,0.14394,2020-03-16,0.0,0,MS,2,0
115,2020-03-17,12,6,0.21591,2020-03-17,0.0,0,MS,2,0
130,2020-03-18,12,7,0.25189,2020-03-18,0.0,0,MS,1,0
151,2020-03-19,12,9,0.32386,2020-03-19,0.0,0,MS,2,0
173,2020-03-20,12,12,0.43181,2020-03-20,0.0,0,MS,3,0
198,2020-03-21,12,16,0.57575,2020-03-21,0.0,0,MS,4,0
224,2020-03-22,13,21,0.75567,2020-03-22,0.0,0,MS,5,0
250,2020-03-23,13,21,0.75567,2020-03-23,0.0,0,MS,0,0
274,2020-03-24,13,24,0.86362,2020-03-24,0.0,0,MS,3,0
301,2020-03-25,13,24,0.86362,2020-03-25,0.0,0,MS,0,0
328,2020-03-26,13,25,0.89961,2020-03-26,0.0,0,MS,1,0
354,2020-03-27,13,28,1.00756,2020-03-27,0.0,0,MS,3,0
381,2020-03-28,13,31,1.11551,2020-03-28,0.0,0,MS,3,0
406,2020-03-29,14,36,1.29544,2020-03-29,0.0,0,MS,5,0
429,2020-03-30,14,44,1.58331,2020-03-30,0.0,0,MS,8,0
456,2020-03-31,14,48,1.72725,2020-03-31,0.0208,1,MS,4,1
483,2020-04-01,14,51,1.8352,2020-04-01,0.0196,1,MS,3,0
510,2020-04-02,14,53,1.90717,2020-04-02,0.0189,1,MS,2,0
537,2020-04-03,14,60,2.1590599999999998,2020-04-03,0.0167,1,MS,7,0
564,2020-04-04,14,62,2.23103,2020-04-04,0.0161,1,MS,2,0
591,2020-04-05,15,65,2.33898,2020-04-05,0.0154,1,MS,3,0
617,2020-04-06,15,66,2.3749700000000002,2020-04-06,0.0152,1,MS,1,0
643,2020-04-07,15,80,2.87875,2020-04-07,0.025,2,MS,14,1
670,2020-04-08,15,85,3.05867,2020-04-08,0.0235,2,MS,5,0
697,2020-04-09,15,89,3.20261,2020-04-09,0.0225,2,MS,4,0
723,2020-04-10,15,97,3.4904800000000002,2020-04-10,0.0206,2,MS,8,0
750,2020-04-11,15,100,3.5984300000000005,2020-04-11,0.02,2,MS,3,0
777,2020-04-12,16,101,3.6344199999999995,2020-04-12,0.0198,2,MS,1,0
803,2020-04-13,16,113,4.06623,2020-04-13,0.0354,4,MS,12,2
829,2020-04-14,16,115,4.1382,2020-04-14,0.0348,4,MS,2,0
856,2020-04-15,16,121,4.3541099999999995,2020-04-15,0.0331,4,MS,6,0
883,2020-04-16,16,131,4.71395,2020-04-16,0.0382,5,MS,10,1
910,2020-04-17,16,143,5.14576,2020-04-17,0.035,5,MS,12,0
937,2020-04-18,16,161,5.793480000000001,2020-04-18,0.0311,5,MS,18,0
964,2020-04-19,17,168,6.04537,2020-04-19,0.0298,5,MS,7,0
991,2020-04-20,17,171,6.15332,2020-04-20,0.0292,5,MS,3,0
1018,2020-04-21,17,173,6.22529,2020-04-21,0.0347,6,MS,2,1
1045,2020-04-22,17,175,6.29726,2020-04-22,0.0343,6,MS,2,0
1071,2020-04-23,17,186,6.69309,2020-04-23,0.0376,7,MS,11,1
1098,2020-04-24,17,213,7.66467,2020-04-24,0.0329,7,MS,27,0
1125,2020-04-25,17,217,7.8086,2020-04-25,0.0323,7,MS,4,0
1152,2020-04-26,18,234,8.42034,2020-04-26,0.0299,7,MS,17,0
1179,2020-04-27,18,238,8.56427,2020-04-27,0.0378,9,MS,4,2
1206,2020-04-28,18,240,8.636239999999999,2020-04-28,0.0375,9,MS,2,0
1232,2020-04-29,18,249,8.9601,2020-04-29,0.0361,9,MS,9,0
1258,2020-04-30,18,255,9.17601,2020-04-30,0.0353,9,MS,6,0
1285,2020-05-01,18,261,9.391910000000001,2020-05-01,0.0345,9,MS,6,0
1312,2020-05-02,18,266,9.57184,2020-05-02,0.0338,9,MS,5,0
1338,2020-05-03,19,272,9.78774,2020-05-03,0.0368,10,MS,6,1
1365,2020-05-04,19,274,9.85971,2020-05-04,0.0365,10,MS,2,0
1392,2020-05-05,19,283,10.18357,2020-05-05,0.0353,10,MS,9,0
1419,2020-05-06,19,288,10.363489999999999,2020-05-06,0.0347,10,MS,5,0
