index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
174,2020-03-20,12,1,0.0287,2020-03-20,0.0,0,MT,1,0
225,2020-03-22,13,2,0.0574,2020-03-22,0.0,0,MT,1,0
251,2020-03-23,13,6,0.17219,2020-03-23,0.0,0,MT,4,0
275,2020-03-24,13,7,0.20089,2020-03-24,0.0,0,MT,1,0
302,2020-03-25,13,9,0.25829,2020-03-25,0.0,0,MT,2,0
329,2020-03-26,13,11,0.31569,2020-03-26,0.0,0,MT,2,0
355,2020-03-27,13,11,0.31569,2020-03-27,0.0,0,MT,0,0
430,2020-03-30,14,18,0.51658,2020-03-30,0.0,0,MT,7,0
457,2020-03-31,14,25,0.7174699999999999,2020-03-31,0.0,0,MT,7,0
484,2020-04-01,14,28,0.80357,2020-04-01,0.0,0,MT,3,0
511,2020-04-02,14,41,1.17665,2020-04-02,0.0,0,MT,13,0
538,2020-04-03,14,44,1.26275,2020-04-03,0.0227,1,MT,3,1
565,2020-04-04,14,60,1.72193,2020-04-04,0.0167,1,MT,16,0
592,2020-04-05,15,60,1.72193,2020-04-05,0.0167,1,MT,0,0
618,2020-04-06,15,76,2.18111,2020-04-06,0.0132,1,MT,16,0
644,2020-04-07,15,78,2.2385099999999998,2020-04-07,0.0128,1,MT,2,0
671,2020-04-08,15,90,2.5828900000000004,2020-04-08,0.0111,1,MT,12,0
698,2020-04-09,15,108,3.09947,2020-04-09,0.0185,2,MT,18,1
724,2020-04-10,15,112,3.21427,2020-04-10,0.0179,2,MT,4,0
751,2020-04-11,15,121,3.4725599999999996,2020-04-11,0.0248,3,MT,9,1
778,2020-04-12,16,123,3.52995,2020-04-12,0.0244,3,MT,2,0
804,2020-04-13,16,134,3.84564,2020-04-13,0.0299,4,MT,11,1
830,2020-04-14,16,138,3.96043,2020-04-14,0.028999999999999998,4,MT,4,0
857,2020-04-15,16,151,4.33352,2020-04-15,0.0265,4,MT,13,0
884,2020-04-16,16,156,4.47701,2020-04-16,0.0321,5,MT,5,1
911,2020-04-17,16,162,4.64921,2020-04-17,0.0309,5,MT,6,0
938,2020-04-18,16,171,4.9075,2020-04-18,0.0292,5,MT,9,0
965,2020-04-19,17,174,4.99359,2020-04-19,0.0287,5,MT,3,0
992,2020-04-20,17,181,5.19448,2020-04-20,0.0331,6,MT,7,1
1019,2020-04-21,17,181,5.19448,2020-04-21,0.0331,6,MT,0,0
1046,2020-04-22,17,205,5.88325,2020-04-22,0.0293,6,MT,24,0
1072,2020-04-23,17,220,6.31374,2020-04-23,0.0318,7,MT,15,1
1099,2020-04-24,17,241,6.916410000000001,2020-04-24,0.0332,8,MT,21,1
1126,2020-04-25,17,246,7.05991,2020-04-25,0.0366,9,MT,5,1
1153,2020-04-26,18,249,7.146,2020-04-26,0.0361,9,MT,3,0
1180,2020-04-27,18,256,7.346889999999999,2020-04-27,0.0391,10,MT,7,1
1207,2020-04-28,18,263,7.54778,2020-04-28,0.0418,11,MT,7,1
1233,2020-04-29,18,292,8.38005,2020-04-29,0.0377,11,MT,29,0
1259,2020-04-30,18,302,8.66704,2020-04-30,0.0364,11,MT,10,0
1286,2020-05-01,18,320,9.18362,2020-05-01,0.0344,11,MT,18,0
1313,2020-05-02,18,333,9.5567,2020-05-02,0.036000000000000004,12,MT,13,1
1339,2020-05-03,19,337,9.6715,2020-05-03,0.0356,12,MT,4,0
1366,2020-05-04,19,344,9.87239,2020-05-04,0.0378,13,MT,7,1
1393,2020-05-05,19,366,10.50376,2020-05-05,0.0355,13,MT,22,0
1420,2020-05-06,19,385,11.04904,2020-05-06,0.0338,13,MT,19,0
1447,2020-05-07,19,419,12.0248,2020-05-07,0.0334,14,MT,34,1
1474,2020-05-08,19,464,13.316239999999999,2020-05-08,0.0323,15,MT,45,1
1501,2020-05-09,19,502,14.4068,2020-05-09,0.0319,16,MT,38,1
1527,2020-05-10,20,519,14.89468,2020-05-10,0.0347,18,MT,17,2
