index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
23,2020-03-08,11,1,0.00472,2020-03-08,0.0,0,MG,1,0
30,2020-03-09,11,1,0.00472,2020-03-09,0.0,0,MG,0,0
36,2020-03-10,11,1,0.00472,2020-03-10,0.0,0,MG,0,0
42,2020-03-11,11,1,0.00472,2020-03-11,0.0,0,MG,0,0
50,2020-03-12,11,2,0.00945,2020-03-12,0.0,0,MG,1,0
65,2020-03-13,11,2,0.00945,2020-03-13,0.0,0,MG,0,0
75,2020-03-14,11,4,0.0189,2020-03-14,0.0,0,MG,2,0
97,2020-03-16,12,6,0.028339999999999997,2020-03-16,0.0,0,MG,2,0
114,2020-03-17,12,14,0.06614,2020-03-17,0.0,0,MG,8,0
129,2020-03-18,12,19,0.08975,2020-03-18,0.0,0,MG,5,0
150,2020-03-19,12,29,0.13699,2020-03-19,0.0,0,MG,10,0
172,2020-03-20,12,38,0.17951,2020-03-20,0.0,0,MG,9,0
197,2020-03-21,12,55,0.25982,2020-03-21,0.0,0,MG,17,0
223,2020-03-22,13,83,0.39209,2020-03-22,0.0,0,MG,28,0
249,2020-03-23,13,128,0.6046600000000001,2020-03-23,0.0,0,MG,45,0
273,2020-03-24,13,130,0.61411,2020-03-24,0.0,0,MG,2,0
300,2020-03-25,13,133,0.6282800000000001,2020-03-25,0.0,0,MG,3,0
327,2020-03-26,13,153,0.7227600000000001,2020-03-26,0.0,0,MG,20,0
353,2020-03-27,13,189,0.8928200000000001,2020-03-27,0.0,0,MG,36,0
380,2020-03-28,13,205,0.96841,2020-03-28,0.0,0,MG,16,0
405,2020-03-29,14,231,1.09123,2020-03-29,0.0,0,MG,26,0
428,2020-03-30,14,261,1.23295,2020-03-30,0.0038,1,MG,30,1
455,2020-03-31,14,275,1.29908,2020-03-31,0.0073,2,MG,14,1
482,2020-04-01,14,314,1.48332,2020-04-01,0.0096,3,MG,39,1
509,2020-04-02,14,370,1.7478599999999997,2020-04-02,0.0108,4,MG,56,1
536,2020-04-03,14,397,1.8754,2020-04-03,0.0151,6,MG,27,2
563,2020-04-04,14,430,2.0312900000000003,2020-04-04,0.013999999999999999,6,MG,33,0
590,2020-04-05,15,498,2.35252,2020-04-05,0.012,6,MG,68,0
616,2020-04-06,15,525,2.48007,2020-04-06,0.0171,9,MG,27,3
642,2020-04-07,15,559,2.64068,2020-04-07,0.0197,11,MG,34,2
669,2020-04-08,15,614,2.9005,2020-04-08,0.0228,14,MG,55,3
696,2020-04-09,15,655,3.0941799999999997,2020-04-09,0.0229,15,MG,41,1
722,2020-04-10,15,698,3.29731,2020-04-10,0.0244,17,MG,43,2
749,2020-04-11,15,750,3.54295,2020-04-11,0.0227,17,MG,52,0
776,2020-04-12,16,806,3.80749,2020-04-12,0.0248,20,MG,56,3
802,2020-04-13,16,815,3.8500099999999997,2020-04-13,0.0282,23,MG,9,3
828,2020-04-14,16,884,4.17596,2020-04-14,0.0305,27,MG,69,4
855,2020-04-15,16,903,4.2657099999999994,2020-04-15,0.0332,30,MG,19,3
882,2020-04-16,16,958,4.525530000000001,2020-04-16,0.0344,33,MG,55,3
909,2020-04-17,16,1021,4.82314,2020-04-17,0.0343,35,MG,63,2
936,2020-04-18,16,1077,5.087680000000001,2020-04-18,0.0362,39,MG,56,4
963,2020-04-19,17,1154,5.45142,2020-04-19,0.0338,39,MG,77,0
990,2020-04-20,17,1189,5.61676,2020-04-20,0.0345,41,MG,35,2
1017,2020-04-21,17,1230,5.81044,2020-04-21,0.0358,44,MG,41,3
1044,2020-04-22,17,1283,6.06081,2020-04-22,0.0366,47,MG,53,3
1070,2020-04-23,17,1308,6.17891,2020-04-23,0.039,51,MG,25,4
1097,2020-04-24,17,1419,6.70326,2020-04-24,0.0381,54,MG,111,3
1124,2020-04-25,17,1481,6.99615,2020-04-25,0.0392,58,MG,62,4
1151,2020-04-26,18,1548,7.31265,2020-04-26,0.0394,61,MG,67,3
1178,2020-04-27,18,1586,7.49216,2020-04-27,0.0391,62,MG,38,1
1205,2020-04-28,18,1649,7.78977,2020-04-28,0.0431,71,MG,63,9
1231,2020-04-29,18,1758,8.304680000000001,2020-04-29,0.0455,80,MG,109,9
1257,2020-04-30,18,1827,8.63063,2020-04-30,0.0449,82,MG,69,2
1284,2020-05-01,18,1935,9.14081,2020-05-01,0.0455,88,MG,108,6
1311,2020-05-02,18,2023,9.556519999999999,2020-05-02,0.0435,88,MG,88,0
1337,2020-05-03,19,2118,10.0053,2020-05-03,0.042,89,MG,95,1
1364,2020-05-04,19,2347,11.08708,2020-05-04,0.0383,90,MG,229,1
1391,2020-05-05,19,2452,11.583089999999999,2020-05-05,0.0383,94,MG,105,4
1418,2020-05-06,19,2605,12.30585,2020-05-06,0.0372,97,MG,153,3
1445,2020-05-07,19,2770,13.0853,2020-05-07,0.0383,106,MG,165,9
1472,2020-05-08,19,2943,13.90254,2020-05-08,0.0377,111,MG,173,5
1499,2020-05-09,19,3123,14.75285,2020-05-09,0.0378,118,MG,180,7
1525,2020-05-10,20,3237,15.291379999999998,2020-05-10,0.0368,119,MG,114,1
1552,2020-05-11,20,3320,15.683470000000002,2020-05-11,0.0364,121,MG,83,2
1579,2020-05-12,20,3435,16.22672,2020-05-12,0.037000000000000005,127,MG,115,6
1606,2020-05-13,20,3733,17.63445,2020-05-13,0.0362,135,MG,298,8
1633,2020-05-14,20,3950,18.65954,2020-05-14,0.0352,139,MG,217,4
1660,2020-05-15,20,4196,19.82163,2020-05-15,0.0348,146,MG,246,7
1686,2020-05-16,20,4474,21.13489,2020-05-16,0.0335,150,MG,278,4
1712,2020-05-17,21,4611,21.78207,2020-05-17,0.0338,156,MG,137,6
1739,2020-05-18,21,4695,22.17888,2020-05-18,0.0343,161,MG,84,5
1766,2020-05-19,21,4977,23.511029999999998,2020-05-19,0.0336,167,MG,282,6
1793,2020-05-20,21,5286,24.97072,2020-05-20,0.0335,177,MG,309,10
1820,2020-05-21,21,5596,26.435140000000004,2020-05-21,0.0341,191,MG,310,14
1846,2020-05-22,21,5995,28.31999,2020-05-22,0.0335,201,MG,399,10
1872,2020-05-23,21,6338,29.9403,2020-05-23,0.0342,217,MG,343,16
1898,2020-05-24,22,6668,31.4992,2020-05-24,0.0339,226,MG,330,9
1924,2020-05-25,22,6962,32.888040000000004,2020-05-25,0.033,230,MG,294,4
1951,2020-05-26,22,7516,35.5051,2020-05-26,0.0311,234,MG,554,4
1978,2020-05-27,22,8011,37.84345,2020-05-27,0.03,240,MG,495,6
2003,2020-05-28,22,8686,41.0321,2020-05-28,0.0294,255,MG,675,15
2030,2020-05-29,22,9232,43.61137,2020-05-29,0.0278,257,MG,546,2
2057,2020-05-30,22,9630,45.4915,2020-05-30,0.0273,263,MG,398,6
2083,2020-05-31,23,10464,49.431259999999995,2020-05-31,0.0259,271,MG,834,8
2110,2020-06-01,23,10670,50.40439,2020-06-01,0.0261,278,MG,206,7
2136,2020-06-02,23,10939,51.675129999999996,2020-06-02,0.0264,289,MG,269,11
2163,2020-06-03,23,12010,56.73446,2020-06-03,0.0255,306,MG,1071,17
2189,2020-06-04,23,13034,61.571769999999994,2020-06-04,0.0248,323,MG,1024,17
2215,2020-06-05,23,13995,66.11148,2020-06-05,0.0246,344,MG,961,21
2242,2020-06-06,23,14939,70.57087,2020-06-06,0.0246,368,MG,944,24
2268,2020-06-07,24,15703,74.17996,2020-06-07,0.0239,376,MG,764,8
2295,2020-06-08,24,15883,75.03027,2020-06-08,0.0239,380,MG,180,4
2322,2020-06-09,24,16102,76.06481,2020-06-09,0.0248,399,MG,219,19
2349,2020-06-10,24,17501,82.67359,2020-06-10,0.0234,409,MG,1399,10
2376,2020-06-11,24,18448,87.14716,2020-06-11,0.0234,431,MG,947,22
2403,2020-06-12,24,20106,94.97944,2020-06-12,0.0222,446,MG,1658,15
2430,2020-06-13,24,20614,97.3792,2020-06-13,0.022000000000000002,454,MG,508,8
2457,2020-06-14,25,21381,101.00246,2020-06-14,0.0222,475,MG,767,21
2484,2020-06-15,25,21728,102.64166999999999,2020-06-15,0.0221,481,MG,347,6
2511,2020-06-16,25,22024,104.03995,2020-06-16,0.0228,502,MG,296,21
2538,2020-06-17,25,23347,110.28971999999999,2020-06-17,0.023,537,MG,1323,35
2565,2020-06-18,25,24906,117.65433,2020-06-18,0.0229,570,MG,1559,33
2592,2020-06-19,25,26052,123.06796000000001,2020-06-19,0.023,600,MG,1146,30
2619,2020-06-20,25,27305,128.98705,2020-06-20,0.0233,636,MG,1253,36
2646,2020-06-21,26,27641,130.5743,2020-06-21,0.0239,661,MG,336,25
2673,2020-06-22,26,28918,136.60676,2020-06-22,0.0238,688,MG,1277,27
2700,2020-06-23,26,29897,141.23148999999998,2020-06-23,0.0241,720,MG,979,32
2727,2020-06-24,26,31343,148.06231,2020-06-24,0.0246,771,MG,1446,51
2754,2020-06-25,26,32769,154.79863999999998,2020-06-25,0.0246,806,MG,1426,35
2780,2020-06-26,26,38891,183.71857,2020-06-26,0.0214,833,MG,6122,27
2806,2020-06-27,26,40966,193.52074,2020-06-27,0.0215,882,MG,2075,49
2833,2020-06-28,27,42741,201.90572,2020-06-28,0.021,899,MG,1775,17
2860,2020-06-29,27,43864,207.2107,2020-06-29,0.0214,940,MG,1123,41
2887,2020-06-30,27,45001,212.58181000000002,2020-06-30,0.0214,965,MG,1137,25
2914,2020-07-01,27,47584,224.78374,2020-07-01,0.0212,1007,MG,2583,42
2941,2020-07-02,27,50707,239.53659,2020-07-02,0.0209,1059,MG,3123,52
2968,2020-07-03,27,53351,252.02667000000002,2020-07-03,0.0208,1110,MG,2644,51
2995,2020-07-04,27,55958,264.34197,2020-07-04,0.0211,1183,MG,2607,73
3022,2020-07-05,28,58283,275.32512,2020-07-05,0.0206,1201,MG,2325,18
3049,2020-07-06,28,59626,281.66937,2020-07-06,0.0206,1230,MG,1343,29
3076,2020-07-07,28,60897,287.67349,2020-07-07,0.0211,1282,MG,1271,52
3103,2020-07-08,28,64035,302.4972,2020-07-08,0.0212,1355,MG,3138,73
3130,2020-07-09,28,66864,315.86121,2020-07-09,0.0216,1445,MG,2829,90
3157,2020-07-10,28,70086,331.08173,2020-07-10,0.0215,1504,MG,3222,59
3184,2020-07-11,28,73813,348.68784,2020-07-11,0.021,1550,MG,3727,46
3211,2020-07-12,29,75851,358.31522,2020-07-12,0.0208,1576,MG,2038,26
3238,2020-07-13,29,76822,362.90216000000004,2020-07-13,0.021,1615,MG,971,39
3265,2020-07-14,29,78643,371.50445,2020-07-14,0.0215,1688,MG,1821,73
3291,2020-07-15,29,82010,387.40994,2020-07-15,0.0214,1752,MG,3367,64
3318,2020-07-16,29,84470,399.03082,2020-07-16,0.0217,1834,MG,2460,82
3345,2020-07-17,29,87271,412.26256,2020-07-17,0.0218,1904,MG,2801,70
3372,2020-07-18,29,90875,429.28762,2020-07-18,0.0216,1964,MG,3604,60
3397,2020-07-19,30,92972,439.19372000000004,2020-07-19,0.0213,1982,MG,2097,18
3423,2020-07-20,30,94132,444.67348,2020-07-20,0.0213,2004,MG,1160,22
3450,2020-07-21,30,95566,451.44760999999994,2020-07-21,0.0217,2071,MG,1434,67
