index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
53,2020-03-12,11,6,0.05248,2020-03-12,0.0,0,PR,6,0
68,2020-03-13,11,6,0.05248,2020-03-13,0.0,0,PR,0,0
101,2020-03-16,12,6,0.05248,2020-03-16,0.0,0,PR,0,0
118,2020-03-17,12,12,0.10495,2020-03-17,0.0,0,PR,6,0
134,2020-03-18,12,14,0.12244000000000001,2020-03-18,0.0,0,PR,2,0
156,2020-03-19,12,23,0.20115999999999998,2020-03-19,0.0,0,PR,9,0
179,2020-03-20,12,36,0.31485,2020-03-20,0.0,0,PR,13,0
203,2020-03-21,12,43,0.37606999999999996,2020-03-21,0.0,0,PR,7,0
230,2020-03-22,13,54,0.47228000000000003,2020-03-22,0.0,0,PR,11,0
256,2020-03-23,13,60,0.52475,2020-03-23,0.0,0,PR,6,0
280,2020-03-24,13,70,0.61221,2020-03-24,0.0,0,PR,10,0
307,2020-03-25,13,97,0.84835,2020-03-25,0.0,0,PR,27,0
334,2020-03-26,13,106,0.92706,2020-03-26,0.0,0,PR,9,0
360,2020-03-27,13,125,1.09323,2020-03-27,0.016,2,PR,19,2
386,2020-03-28,13,137,1.1981899999999999,2020-03-28,0.0146,2,PR,12,0
410,2020-03-29,14,152,1.3293700000000002,2020-03-29,0.0132,2,PR,15,0
435,2020-03-30,14,160,1.39934,2020-03-30,0.0187,3,PR,8,1
462,2020-03-31,14,185,1.61799,2020-03-31,0.0162,3,PR,25,0
489,2020-04-01,14,229,2.0028099999999998,2020-04-01,0.0131,3,PR,44,0
516,2020-04-02,14,258,2.25644,2020-04-02,0.0155,4,PR,29,1
543,2020-04-03,14,307,2.68498,2020-04-03,0.0163,5,PR,49,1
570,2020-04-04,14,401,3.5071,2020-04-04,0.0175,7,PR,94,2
597,2020-04-05,15,445,3.89192,2020-04-05,0.0225,10,PR,44,3
623,2020-04-06,15,466,4.07558,2020-04-06,0.03,14,PR,21,4
649,2020-04-07,15,511,4.46914,2020-04-07,0.0294,15,PR,45,1
676,2020-04-08,15,550,4.810230000000001,2020-04-08,0.0309,17,PR,39,2
703,2020-04-09,15,621,5.43119,2020-04-09,0.0386,24,PR,71,7
729,2020-04-10,15,655,5.72855,2020-04-10,0.0397,26,PR,34,2
756,2020-04-11,15,688,6.01716,2020-04-11,0.0392,27,PR,33,1
783,2020-04-12,16,750,6.559410000000001,2020-04-12,0.0413,31,PR,62,4
809,2020-04-13,16,768,6.71683,2020-04-13,0.043,33,PR,18,2
835,2020-04-14,16,803,7.022939999999999,2020-04-14,0.0486,39,PR,35,6
862,2020-04-15,16,816,7.136639999999999,2020-04-15,0.0502,41,PR,13,2
889,2020-04-16,16,845,7.39027,2020-04-16,0.0509,43,PR,29,2
916,2020-04-17,16,887,7.7575899999999995,2020-04-17,0.0496,44,PR,42,1
943,2020-04-18,16,960,8.39604,2020-04-18,0.051,49,PR,73,5
970,2020-04-19,17,1002,8.76337,2020-04-19,0.0519,52,PR,42,3
997,2020-04-20,17,1022,8.93829,2020-04-20,0.0519,53,PR,20,1
1024,2020-04-21,17,1039,9.086969999999999,2020-04-21,0.0529,55,PR,17,2
1051,2020-04-22,17,1077,9.419310000000001,2020-04-22,0.0557,60,PR,38,5
1077,2020-04-23,17,1096,9.58548,2020-04-23,0.0566,62,PR,19,2
1104,2020-04-24,17,1133,9.90908,2020-04-24,0.0591,67,PR,37,5
1131,2020-04-25,17,1155,10.10149,2020-04-25,0.0615,71,PR,22,4
1158,2020-04-26,18,1171,10.24142,2020-04-26,0.064,75,PR,16,4
1185,2020-04-27,18,1201,10.5038,2020-04-27,0.0641,77,PR,30,2
1212,2020-04-28,18,1286,11.2472,2020-04-28,0.0614,79,PR,85,2
1238,2020-04-29,18,1364,11.92938,2020-04-29,0.0616,84,PR,78,5
1264,2020-04-30,18,1423,12.44539,2020-04-30,0.0618,88,PR,59,4
1291,2020-05-01,18,1464,12.80397,2020-05-01,0.0628,92,PR,41,4
1318,2020-05-02,18,1510,13.20628,2020-05-02,0.0616,93,PR,46,1
1344,2020-05-03,19,1533,13.407429999999998,2020-05-03,0.0626,96,PR,23,3
1371,2020-05-04,19,1581,13.827229999999998,2020-05-04,0.0614,97,PR,48,1
1398,2020-05-05,19,1608,14.06337,2020-05-05,0.0634,102,PR,27,5
1425,2020-05-06,19,1647,14.40446,2020-05-06,0.0631,104,PR,39,2
1452,2020-05-07,19,1678,14.675579999999998,2020-05-07,0.0638,107,PR,31,3
1479,2020-05-08,19,1734,15.16535,2020-05-08,0.0629,109,PR,56,2
1506,2020-05-09,19,1809,15.82129,2020-05-09,0.0608,110,PR,75,1
1532,2020-05-10,20,1859,16.258589999999998,2020-05-10,0.0602,112,PR,50,2
1559,2020-05-11,20,1873,16.38103,2020-05-11,0.0609,114,PR,14,2
1586,2020-05-12,20,1930,16.87955,2020-05-12,0.0601,116,PR,57,2
1613,2020-05-13,20,2023,17.69291,2020-05-13,0.0593,120,PR,93,4
1640,2020-05-14,20,2091,18.28763,2020-05-14,0.0583,122,PR,68,2
1667,2020-05-15,20,2167,18.95232,2020-05-15,0.0572,124,PR,76,2
1693,2020-05-16,20,2272,19.870639999999998,2020-05-16,0.0555,126,PR,105,2
1719,2020-05-17,21,2316,20.25545,2020-05-17,0.0548,127,PR,44,1
1746,2020-05-18,21,2390,20.90265,2020-05-18,0.0544,130,PR,74,3
1773,2020-05-19,21,2519,22.03087,2020-05-19,0.0528,133,PR,129,3
1800,2020-05-20,21,2656,23.22905,2020-05-20,0.0527,140,PR,137,7
1827,2020-05-21,21,2855,24.969479999999997,2020-05-21,0.0504,144,PR,199,4
1853,2020-05-22,21,2985,26.10645,2020-05-22,0.0499,149,PR,130,5
1879,2020-05-23,21,3147,27.52328,2020-05-23,0.0486,153,PR,162,4
1905,2020-05-24,22,3260,28.51156,2020-05-24,0.0479,156,PR,113,3
1931,2020-05-25,22,3384,29.59605,2020-05-25,0.0473,160,PR,124,4
1958,2020-05-26,22,3567,31.19655,2020-05-26,0.046,164,PR,183,4
1985,2020-05-27,22,3768,32.95447,2020-05-27,0.0443,167,PR,201,3
2010,2020-05-28,22,4041,35.3421,2020-05-28,0.0431,174,PR,273,7
2037,2020-05-29,22,4300,37.607279999999996,2020-05-29,0.0414,178,PR,259,4
2064,2020-05-30,22,4538,39.6888,2020-05-30,0.040999999999999995,186,PR,238,8
