index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
51,2020-03-12,11,0,,2020-03-12,0.0,0,PB,0,0
66,2020-03-13,11,0,,2020-03-13,0.0,0,PB,0,0
77,2020-03-14,11,0,,2020-03-14,0.0,0,PB,0,0
87,2020-03-15,12,0,,2020-03-15,0.0,0,PB,0,0
99,2020-03-16,12,0,,2020-03-16,0.0,0,PB,0,0
116,2020-03-17,12,0,,2020-03-17,0.0,0,PB,0,0
132,2020-03-18,12,1,0.02489,2020-03-18,0.0,0,PB,1,0
153,2020-03-19,12,1,0.02489,2020-03-19,0.0,0,PB,0,0
176,2020-03-20,12,1,0.02489,2020-03-20,0.0,0,PB,0,0
200,2020-03-21,12,1,0.02489,2020-03-21,0.0,0,PB,0,0
227,2020-03-22,13,1,0.02489,2020-03-22,0.0,0,PB,0,0
253,2020-03-23,13,2,0.04977,2020-03-23,0.0,0,PB,1,0
277,2020-03-24,13,3,0.07466,2020-03-24,0.0,0,PB,1,0
304,2020-03-25,13,5,0.12444000000000001,2020-03-25,0.0,0,PB,2,0
331,2020-03-26,13,6,0.14932,2020-03-26,0.0,0,PB,1,0
357,2020-03-27,13,10,0.24886999999999998,2020-03-27,0.0,0,PB,4,0
383,2020-03-28,13,14,0.34842,2020-03-28,0.0,0,PB,4,0
408,2020-03-29,14,14,0.34842,2020-03-29,0.0,0,PB,0,0
432,2020-03-30,14,17,0.42308,2020-03-30,0.0,0,PB,3,0
459,2020-03-31,14,18,0.44797,2020-03-31,0.0556,1,PB,1,1
486,2020-04-01,14,21,0.52263,2020-04-01,0.0476,1,PB,3,0
513,2020-04-02,14,29,0.72173,2020-04-02,0.0345,1,PB,8,0
540,2020-04-03,14,32,0.7963899999999999,2020-04-03,0.0312,1,PB,3,0
567,2020-04-04,14,34,0.8461700000000001,2020-04-04,0.0882,3,PB,2,2
594,2020-04-05,15,35,0.87105,2020-04-05,0.1143,4,PB,1,1
620,2020-04-06,15,36,0.89594,2020-04-06,0.1111,4,PB,1,0
646,2020-04-07,15,41,1.0203799999999998,2020-04-07,0.0976,4,PB,5,0
673,2020-04-08,15,55,1.3688,2020-04-08,0.1273,7,PB,14,3
700,2020-04-09,15,79,1.9660900000000001,2020-04-09,0.1392,11,PB,24,4
726,2020-04-10,15,85,2.11541,2020-04-10,0.1294,11,PB,6,0
753,2020-04-11,15,101,2.51361,2020-04-11,0.1287,13,PB,16,2
780,2020-04-12,16,111,2.76248,2020-04-12,0.1171,13,PB,10,0
806,2020-04-13,16,136,3.38466,2020-04-13,0.1176,16,PB,25,3
832,2020-04-14,16,152,3.78286,2020-04-14,0.1382,21,PB,16,5
