index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
131,2020-03-18,12,1,0.01162,2020-03-18,0.0,0,PA,1,0
152,2020-03-19,12,1,0.01162,2020-03-19,0.0,0,PA,0,0
175,2020-03-20,12,2,0.02325,2020-03-20,0.0,0,PA,1,0
199,2020-03-21,12,2,0.02325,2020-03-21,0.0,0,PA,0,0
226,2020-03-22,13,4,0.0465,2020-03-22,0.0,0,PA,2,0
252,2020-03-23,13,5,0.058120000000000005,2020-03-23,0.0,0,PA,1,0
276,2020-03-24,13,5,0.058120000000000005,2020-03-24,0.0,0,PA,0,0
303,2020-03-25,13,7,0.08137,2020-03-25,0.0,0,PA,2,0
330,2020-03-26,13,13,0.15111,2020-03-26,0.0,0,PA,6,0
356,2020-03-27,13,16,0.18598,2020-03-27,0.0,0,PA,3,0
382,2020-03-28,13,18,0.20923000000000003,2020-03-28,0.0,0,PA,2,0
407,2020-03-29,14,20,0.23248000000000002,2020-03-29,0.0,0,PA,2,0
431,2020-03-30,14,26,0.30222,2020-03-30,0.0,0,PA,6,0
458,2020-03-31,14,34,0.39521999999999996,2020-03-31,0.0,0,PA,8,0
485,2020-04-01,14,41,0.47658999999999996,2020-04-01,0.0244,1,PA,7,1
512,2020-04-02,14,49,0.56958,2020-04-02,0.0204,1,PA,8,0
539,2020-04-03,14,75,0.8718,2020-04-03,0.0133,1,PA,26,0
566,2020-04-04,14,82,0.9531700000000001,2020-04-04,0.0122,1,PA,7,0
593,2020-04-05,15,86,0.9996700000000001,2020-04-05,0.0116,1,PA,4,0
619,2020-04-06,15,123,1.4297600000000001,2020-04-06,0.0407,5,PA,37,4
645,2020-04-07,15,154,1.7901,2020-04-07,0.0325,5,PA,31,0
672,2020-04-08,15,165,1.9179700000000002,2020-04-08,0.0364,6,PA,11,1
699,2020-04-09,15,169,1.9644599999999999,2020-04-09,0.0414,7,PA,4,1
725,2020-04-10,15,217,2.52242,2020-04-10,0.0415,9,PA,48,2
