index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
52,2020-03-12,11,2,0.02093,2020-03-12,0.0,0,PE,2,0
67,2020-03-13,11,2,0.02093,2020-03-13,0.0,0,PE,0,0
78,2020-03-14,11,7,0.07324,2020-03-14,0.0,0,PE,5,0
88,2020-03-15,12,8,0.08371,2020-03-15,0.0,0,PE,1,0
100,2020-03-16,12,8,0.08371,2020-03-16,0.0,0,PE,0,0
117,2020-03-17,12,18,0.18834,2020-03-17,0.0,0,PE,10,0
133,2020-03-18,12,19,0.19881,2020-03-18,0.0,0,PE,1,0
154,2020-03-19,12,28,0.29298,2020-03-19,0.0,0,PE,9,0
177,2020-03-20,12,31,0.32437,2020-03-20,0.0,0,PE,3,0
201,2020-03-21,12,33,0.34529,2020-03-21,0.0,0,PE,2,0
228,2020-03-22,13,37,0.38715,2020-03-22,0.0,0,PE,4,0
254,2020-03-23,13,42,0.43946999999999997,2020-03-23,0.0,0,PE,5,0
278,2020-03-24,13,42,0.43946999999999997,2020-03-24,0.0,0,PE,0,0
305,2020-03-25,13,46,0.48131999999999997,2020-03-25,0.0217,1,PE,4,1
332,2020-03-26,13,48,0.50225,2020-03-26,0.0625,3,PE,2,2
358,2020-03-27,13,57,0.59642,2020-03-27,0.0702,4,PE,9,1
384,2020-03-28,13,68,0.7115199999999999,2020-03-28,0.0735,5,PE,11,1
409,2020-03-29,14,73,0.76383,2020-03-29,0.0685,5,PE,5,0
433,2020-03-30,14,77,0.80569,2020-03-30,0.0779,6,PE,4,1
460,2020-03-31,14,87,0.91032,2020-03-31,0.069,6,PE,10,0
487,2020-04-01,14,95,0.99403,2020-04-01,0.0842,8,PE,8,2
514,2020-04-02,14,106,1.10913,2020-04-02,0.0849,9,PE,11,1
541,2020-04-03,14,136,1.42303,2020-04-03,0.0735,10,PE,30,1
568,2020-04-04,14,176,1.8415700000000002,2020-04-04,0.0795,14,PE,40,4
595,2020-04-05,15,201,2.10315,2020-04-05,0.1045,21,PE,25,7
621,2020-04-06,15,223,2.33335,2020-04-06,0.1345,30,PE,22,9
647,2020-04-07,15,352,3.6831400000000003,2020-04-07,0.0966,34,PE,129,4
674,2020-04-08,15,401,4.19585,2020-04-08,0.1147,46,PE,49,12
701,2020-04-09,15,555,5.80722,2020-04-09,0.1009,56,PE,154,10
727,2020-04-10,15,684,7.157,2020-04-10,0.095,65,PE,129,9
754,2020-04-11,15,816,8.53818,2020-04-11,0.0882,72,PE,132,7
781,2020-04-12,16,960,10.04492,2020-04-12,0.0885,85,PE,144,13
807,2020-04-13,16,1154,12.07483,2020-04-13,0.0884,102,PE,194,17
833,2020-04-14,16,1284,13.43508,2020-04-14,0.0896,115,PE,130,13
860,2020-04-15,16,1484,15.52777,2020-04-15,0.0964,143,PE,200,28
887,2020-04-16,16,1683,17.61,2020-04-16,0.0951,160,PE,199,17
914,2020-04-17,16,2006,20.98969,2020-04-17,0.0927,186,PE,323,26
941,2020-04-18,16,2193,22.946360000000002,2020-04-18,0.0935,205,PE,187,19
968,2020-04-19,17,2459,25.72964,2020-04-19,0.0878,216,PE,266,11
995,2020-04-20,17,2690,28.1467,2020-04-20,0.087,234,PE,231,18
1022,2020-04-21,17,2908,30.42773,2020-04-21,0.0894,260,PE,218,26
1049,2020-04-22,17,3298,34.50848,2020-04-22,0.0855,282,PE,390,22
1075,2020-04-23,17,3604,37.7103,2020-04-23,0.0866,312,PE,306,30
1102,2020-04-24,17,3999,41.84336,2020-04-24,0.08800000000000001,352,PE,395,40
1129,2020-04-25,17,4507,47.1588,2020-04-25,0.0845,381,PE,508,29
1156,2020-04-26,18,4898,51.250009999999996,2020-04-26,0.0847,415,PE,391,34
