index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
155,2020-03-19,12,3,0.09165,2020-03-19,0.0,0,PI,3,0
178,2020-03-20,12,4,0.1222,2020-03-20,0.0,0,PI,1,0
202,2020-03-21,12,4,0.1222,2020-03-21,0.0,0,PI,0,0
229,2020-03-22,13,6,0.18331,2020-03-22,0.0,0,PI,2,0
255,2020-03-23,13,6,0.18331,2020-03-23,0.0,0,PI,0,0
279,2020-03-24,13,8,0.24441,2020-03-24,0.0,0,PI,2,0
306,2020-03-25,13,8,0.24441,2020-03-25,0.0,0,PI,0,0
333,2020-03-26,13,9,0.27496,2020-03-26,0.0,0,PI,1,0
359,2020-03-27,13,10,0.30551,2020-03-27,0.1,1,PI,1,1
385,2020-03-28,13,11,0.33605999999999997,2020-03-28,0.0909,1,PI,1,0
434,2020-03-30,14,18,0.54992,2020-03-30,0.2222,4,PI,7,3
461,2020-03-31,14,18,0.54992,2020-03-31,0.2222,4,PI,0,0
488,2020-04-01,14,19,0.5804699999999999,2020-04-01,0.2105,4,PI,1,0
515,2020-04-02,14,19,0.5804699999999999,2020-04-02,0.2105,4,PI,0,0
542,2020-04-03,14,22,0.6721199999999999,2020-04-03,0.1818,4,PI,3,0
569,2020-04-04,14,24,0.73322,2020-04-04,0.1667,4,PI,2,0
596,2020-04-05,15,24,0.73322,2020-04-05,0.1667,4,PI,0,0
622,2020-04-06,15,26,0.79432,2020-04-06,0.1538,4,PI,2,0
648,2020-04-07,15,31,0.9470799999999999,2020-04-07,0.1613,5,PI,5,1
675,2020-04-08,15,38,1.16093,2020-04-08,0.1579,6,PI,7,1
702,2020-04-09,15,40,1.22204,2020-04-09,0.175,7,PI,2,1
728,2020-04-10,15,41,1.2525899999999999,2020-04-10,0.1707,7,PI,1,0
755,2020-04-11,15,44,1.3442399999999999,2020-04-11,0.1591,7,PI,3,0
782,2020-04-12,16,51,1.5581,2020-04-12,0.1373,7,PI,7,0
808,2020-04-13,16,58,1.77195,2020-04-13,0.1379,8,PI,7,1
834,2020-04-14,16,75,2.2913200000000002,2020-04-14,0.1067,8,PI,17,0
861,2020-04-15,16,91,2.7801299999999998,2020-04-15,0.0879,8,PI,16,0
888,2020-04-16,16,102,3.11619,2020-04-16,0.0784,8,PI,11,0
915,2020-04-17,16,123,3.7577599999999998,2020-04-17,0.0732,9,PI,21,1
942,2020-04-18,16,144,4.39933,2020-04-18,0.0694,10,PI,21,1
969,2020-04-19,17,158,4.82704,2020-04-19,0.0759,12,PI,14,2
996,2020-04-20,17,186,5.6824699999999995,2020-04-20,0.0753,14,PI,28,2
1023,2020-04-21,17,206,6.293480000000001,2020-04-21,0.0728,15,PI,20,1
1050,2020-04-22,17,217,6.6295399999999995,2020-04-22,0.0691,15,PI,11,0
1076,2020-04-23,17,256,7.82103,2020-04-23,0.0625,16,PI,39,1
1103,2020-04-24,17,297,9.07361,2020-04-24,0.0572,17,PI,41,1
1130,2020-04-25,17,331,10.11234,2020-04-25,0.0544,18,PI,34,1
1157,2020-04-26,18,364,11.120519999999999,2020-04-26,0.0549,20,PI,33,2
1184,2020-04-27,18,408,12.46476,2020-04-27,0.0515,21,PI,44,1
1211,2020-04-28,18,454,13.8701,2020-04-28,0.0529,24,PI,46,3
1237,2020-04-29,18,513,15.67261,2020-04-29,0.0468,24,PI,59,0
1263,2020-04-30,18,600,18.33053,2020-04-30,0.04,24,PI,87,0
1290,2020-05-01,18,665,20.31634,2020-05-01,0.0391,26,PI,65,2
1317,2020-05-02,18,742,22.66876,2020-05-02,0.0377,28,PI,77,2
1343,2020-05-03,19,784,23.9519,2020-05-03,0.0357,28,PI,42,0
1370,2020-05-04,19,875,26.732029999999998,2020-05-04,0.0331,29,PI,91,1
1397,2020-05-05,19,949,28.9928,2020-05-05,0.0316,30,PI,74,1
1424,2020-05-06,19,1051,32.108990000000006,2020-05-06,0.0333,35,PI,102,5
1451,2020-05-07,19,1131,34.553059999999995,2020-05-07,0.0327,37,PI,80,2
1478,2020-05-08,19,1233,37.66925,2020-05-08,0.0308,38,PI,102,1
1505,2020-05-09,19,1278,39.04404,2020-05-09,0.0329,42,PI,45,4
1531,2020-05-10,20,1332,40.69379,2020-05-10,0.0338,45,PI,54,3
1558,2020-05-11,20,1443,44.08494,2020-05-11,0.034,49,PI,111,4
1585,2020-05-12,20,1612,49.24804,2020-05-12,0.0354,57,PI,169,8
1612,2020-05-13,20,1784,54.502790000000005,2020-05-13,0.0336,60,PI,172,3
1639,2020-05-14,20,1905,58.19945,2020-05-14,0.0315,60,PI,121,0
1666,2020-05-15,20,2085,63.698609999999995,2020-05-15,0.0312,65,PI,180,5
1692,2020-05-16,20,2252,68.80060999999999,2020-05-16,0.032,72,PI,167,7
1718,2020-05-17,21,2287,69.86989,2020-05-17,0.035,80,PI,35,8
1745,2020-05-18,21,2440,74.54417,2020-05-18,0.0348,85,PI,153,5
1772,2020-05-19,21,2637,80.5627,2020-05-19,0.033,87,PI,197,2
1799,2020-05-20,21,2852,87.13114,2020-05-20,0.0319,91,PI,215,4
1826,2020-05-21,21,3074,93.91344000000001,2020-05-21,0.0303,93,PI,222,2
1852,2020-05-22,21,3258,99.5348,2020-05-22,0.0304,99,PI,184,6
1878,2020-05-23,21,3390,103.56752,2020-05-23,0.0316,107,PI,132,8
1904,2020-05-24,22,3550,108.45566000000001,2020-05-24,0.031,110,PI,160,3
