index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
55,2020-03-12,11,1,0.02852,2020-03-12,0.0,0,RN,1,0
69,2020-03-13,11,1,0.02852,2020-03-13,0.0,0,RN,0,0
103,2020-03-16,12,1,0.02852,2020-03-16,0.0,0,RN,0,0
136,2020-03-18,12,1,0.02852,2020-03-18,0.0,0,RN,0,0
180,2020-03-20,12,6,0.17109000000000002,2020-03-20,0.0,0,RN,5,0
205,2020-03-21,12,9,0.25664000000000003,2020-03-21,0.0,0,RN,3,0
232,2020-03-22,13,13,0.3707,2020-03-22,0.0,0,RN,4,0
282,2020-03-24,13,14,0.39921999999999996,2020-03-24,0.0,0,RN,1,0
309,2020-03-25,13,14,0.39921999999999996,2020-03-25,0.0,0,RN,0,0
336,2020-03-26,13,19,0.5418,2020-03-26,0.0,0,RN,5,0
362,2020-03-27,13,28,0.7984399999999999,2020-03-27,0.0,0,RN,9,0
388,2020-03-28,13,68,1.9390599999999998,2020-03-28,0.0147,1,RN,40,1
437,2020-03-30,14,77,2.1957,2020-03-30,0.013000000000000001,1,RN,9,0
464,2020-03-31,14,82,2.33828,2020-03-31,0.0122,1,RN,5,0
491,2020-04-01,14,92,2.62343,2020-04-01,0.0217,2,RN,10,1
518,2020-04-02,14,106,3.02265,2020-04-02,0.0189,2,RN,14,0
545,2020-04-03,14,176,5.01874,2020-04-03,0.0227,4,RN,70,2
572,2020-04-04,14,215,6.13085,2020-04-04,0.0279,6,RN,39,2
599,2020-04-05,15,246,7.0148399999999995,2020-04-05,0.0285,7,RN,31,1
651,2020-04-07,15,254,7.242960000000001,2020-04-07,0.0315,8,RN,8,1
678,2020-04-08,15,261,7.44257,2020-04-08,0.0421,11,RN,7,3
731,2020-04-10,15,263,7.4996,2020-04-10,0.0418,11,RN,2,0
758,2020-04-11,15,289,8.241010000000001,2020-04-11,0.045,13,RN,26,2
785,2020-04-12,16,339,9.666789999999999,2020-04-12,0.0501,17,RN,50,4
811,2020-04-13,16,376,10.721860000000001,2020-04-13,0.0479,18,RN,37,1
837,2020-04-14,16,399,11.37772,2020-04-14,0.0476,19,RN,23,1
864,2020-04-15,16,400,11.406239999999999,2020-04-15,0.05,20,RN,1,1
891,2020-04-16,16,463,13.202720000000001,2020-04-16,0.0497,23,RN,63,3
918,2020-04-17,16,516,14.71405,2020-04-17,0.0465,24,RN,53,1
945,2020-04-18,16,561,15.99725,2020-04-18,0.0463,26,RN,45,2
972,2020-04-19,17,595,16.96678,2020-04-19,0.0454,27,RN,34,1
999,2020-04-20,17,608,17.33748,2020-04-20,0.0461,28,RN,13,1
1026,2020-04-21,17,646,18.42107,2020-04-21,0.0449,29,RN,38,1
1053,2020-04-22,17,708,20.18904,2020-04-22,0.048,34,RN,62,5
1079,2020-04-23,17,754,21.50076,2020-04-23,0.0504,38,RN,46,4
1106,2020-04-24,17,781,22.27068,2020-04-24,0.0512,40,RN,27,2
1133,2020-04-25,17,825,23.525370000000002,2020-04-25,0.0533,44,RN,44,4
1160,2020-04-26,18,832,23.72498,2020-04-26,0.0541,45,RN,7,1
1187,2020-04-27,18,857,24.43786,2020-04-27,0.055999999999999994,48,RN,25,3
1214,2020-04-28,18,1086,30.967940000000002,2020-04-28,0.0497,54,RN,229,6
1240,2020-04-29,18,1177,33.56286,2020-04-29,0.0476,56,RN,91,2
1266,2020-04-30,18,1297,36.98473,2020-04-30,0.0432,56,RN,120,0
1293,2020-05-01,18,1366,38.9523,2020-05-01,0.0432,59,RN,69,3
1320,2020-05-02,18,1392,39.693709999999996,2020-05-02,0.0438,61,RN,26,2
1346,2020-05-03,19,1421,40.52066,2020-05-03,0.0436,62,RN,29,1
1373,2020-05-04,19,1536,43.79995,2020-05-04,0.0443,68,RN,115,6
1400,2020-05-05,19,1644,46.87964,2020-05-05,0.0438,72,RN,108,4
1427,2020-05-06,19,1739,49.58862,2020-05-06,0.0437,76,RN,95,4
1454,2020-05-07,19,1821,51.9269,2020-05-07,0.0445,81,RN,82,5
1481,2020-05-08,19,1919,54.721430000000005,2020-05-08,0.0453,87,RN,98,6
1534,2020-05-10,20,1930,55.0351,2020-05-10,0.0451,87,RN,11,0
1561,2020-05-11,20,2033,57.9722,2020-05-11,0.0457,93,RN,103,6
1588,2020-05-12,20,2367,67.49641,2020-05-12,0.0444,105,RN,334,12
1615,2020-05-13,20,2537,72.34406,2020-05-13,0.0461,117,RN,170,12
1642,2020-05-14,20,2786,79.44445,2020-05-14,0.0438,122,RN,249,5
1695,2020-05-16,20,3004,85.66085,2020-05-16,0.0453,136,RN,218,14
1721,2020-05-17,21,3138,89.48194000000001,2020-05-17,0.0443,139,RN,134,3
1748,2020-05-18,21,3483,99.31981999999999,2020-05-18,0.0459,160,RN,345,21
1775,2020-05-19,21,3796,108.2452,2020-05-19,0.0448,170,RN,313,10
1802,2020-05-20,21,4060,115.77332,2020-05-20,0.0438,178,RN,264,8
1829,2020-05-21,21,4251,121.21978999999999,2020-05-21,0.0426,181,RN,191,3
1855,2020-05-22,21,4599,131.14321999999999,2020-05-22,0.04,184,RN,348,3
1907,2020-05-24,22,4774,136.13345,2020-05-24,0.0444,212,RN,175,28
1933,2020-05-25,22,5472,156.03734,2020-05-25,0.0402,220,RN,698,8
1960,2020-05-26,22,5630,160.5428,2020-05-26,0.043,242,RN,158,22
2012,2020-05-28,22,6463,184.29629,2020-05-28,0.0415,268,RN,833,26
2039,2020-05-29,22,7402,211.07242999999997,2020-05-29,0.0412,305,RN,939,37
2092,2020-05-31,23,8008,228.35289,2020-05-31,0.0403,323,RN,606,18
2119,2020-06-01,23,8233,234.76889,2020-06-01,0.0414,341,RN,225,18
2145,2020-06-02,23,9149,260.88917999999995,2020-06-02,0.0401,367,RN,916,26
2172,2020-06-03,23,9282,264.68175,2020-06-03,0.0407,378,RN,133,11
2198,2020-06-04,23,9433,268.98761,2020-06-04,0.040999999999999995,387,RN,151,9
2224,2020-06-05,23,9449,269.44386000000003,2020-06-05,0.0434,410,RN,16,23
2277,2020-06-07,24,10888,310.4778,2020-06-07,0.0396,431,RN,1439,21
2304,2020-06-08,24,11027,314.44147000000004,2020-06-08,0.0416,459,RN,139,28
2331,2020-06-09,24,11568,329.8684,2020-06-09,0.0421,487,RN,541,28
2358,2020-06-10,24,13234,377.37538,2020-06-10,0.0375,496,RN,1666,9
2385,2020-06-11,24,13544,386.21522000000004,2020-06-11,0.038,515,RN,310,19
2412,2020-06-12,24,13789,393.20153999999997,2020-06-12,0.0387,533,RN,245,18
2439,2020-06-13,24,14171,404.0945,2020-06-13,0.0377,534,RN,382,1
2466,2020-06-14,25,14214,405.32067,2020-06-14,0.0389,553,RN,43,19
2493,2020-06-15,25,15212,433.77923,2020-06-15,0.0385,585,RN,998,32
2520,2020-06-16,25,15690,447.40969,2020-06-16,0.0399,626,RN,478,41
2547,2020-06-17,25,15889,453.08429,2020-06-17,0.0412,655,RN,199,29
2574,2020-06-18,25,16039,457.36163,2020-06-18,0.0432,693,RN,150,38
2601,2020-06-19,25,19206,547.67052,2020-06-19,0.0363,697,RN,3167,4
2628,2020-06-20,25,19290,550.06583,2020-06-20,0.0361,697,RN,84,0
2655,2020-06-21,26,19957,569.08573,2020-06-21,0.0366,730,RN,667,33
2682,2020-06-22,26,20075,572.45057,2020-06-22,0.0374,750,RN,118,20
2709,2020-06-23,26,21844,622.8946599999999,2020-06-23,0.0373,814,RN,1769,64
2736,2020-06-24,26,22738,648.3876,2020-06-24,0.038,865,RN,894,51
