index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
37,2020-03-10,11,1,0.008790000000000001,2020-03-10,0.0,0,RS,1,0
43,2020-03-11,11,2,0.017580000000000002,2020-03-11,0.0,0,RS,1,0
56,2020-03-12,11,4,0.035160000000000004,2020-03-12,0.0,0,RS,2,0
70,2020-03-13,11,4,0.035160000000000004,2020-03-13,0.0,0,RS,0,0
104,2020-03-16,12,8,0.07032000000000001,2020-03-16,0.0,0,RS,4,0
137,2020-03-18,12,19,0.16699999999999998,2020-03-18,0.0,0,RS,11,0
158,2020-03-19,12,31,0.27247,2020-03-19,0.0,0,RS,12,0
182,2020-03-20,12,43,0.37795,2020-03-20,0.0,0,RS,12,0
208,2020-03-21,12,69,0.60647,2020-03-21,0.0,0,RS,26,0
235,2020-03-22,13,77,0.67679,2020-03-22,0.0,0,RS,8,0
259,2020-03-23,13,96,0.8437899999999999,2020-03-23,0.0,0,RS,19,0
285,2020-03-24,13,112,0.9844200000000001,2020-03-24,0.0,0,RS,16,0
312,2020-03-25,13,162,1.4239,2020-03-25,0.0062,1,RS,50,1
339,2020-03-26,13,190,1.67,2020-03-26,0.0053,1,RS,28,0
365,2020-03-27,13,197,1.73153,2020-03-27,0.0102,2,RS,7,1
391,2020-03-28,13,200,1.7579,2020-03-28,0.01,2,RS,3,0
414,2020-03-29,14,230,2.0215799999999997,2020-03-29,0.0087,2,RS,30,0
440,2020-03-30,14,254,2.23253,2020-03-30,0.0157,4,RS,24,2
467,2020-03-31,14,305,2.68079,2020-03-31,0.0131,4,RS,51,0
494,2020-04-01,14,316,2.7774799999999997,2020-04-01,0.0158,5,RS,11,1
521,2020-04-02,14,386,3.3927400000000003,2020-04-02,0.013000000000000001,5,RS,70,0
548,2020-04-03,14,410,3.6036900000000003,2020-04-03,0.0146,6,RS,24,1
575,2020-04-04,14,418,3.674,2020-04-04,0.0167,7,RS,8,1
602,2020-04-05,15,468,4.11348,2020-04-05,0.015,7,RS,50,0
627,2020-04-06,15,501,4.40353,2020-04-06,0.016,8,RS,33,1
654,2020-04-07,15,555,4.87816,2020-04-07,0.0144,8,RS,54,0
681,2020-04-08,15,581,5.10669,2020-04-08,0.0172,10,RS,26,2
707,2020-04-09,15,636,5.59011,2020-04-09,0.022000000000000002,14,RS,55,4
734,2020-04-10,15,640,5.6252699999999995,2020-04-10,0.0234,15,RS,4,1
761,2020-04-11,15,653,5.73953,2020-04-11,0.0245,16,RS,13,1
788,2020-04-12,16,664,5.8362099999999995,2020-04-12,0.0241,16,RS,11,0
813,2020-04-13,16,685,6.02079,2020-04-13,0.0248,17,RS,21,1
840,2020-04-14,16,720,6.3284199999999995,2020-04-14,0.025,18,RS,35,1
867,2020-04-15,16,762,6.69758,2020-04-15,0.0249,19,RS,42,1
894,2020-04-16,16,792,6.96127,2020-04-16,0.0265,21,RS,30,2
921,2020-04-17,16,831,7.304060000000001,2020-04-17,0.0289,24,RS,39,3
948,2020-04-18,16,854,7.50621,2020-04-18,0.0281,24,RS,23,0
975,2020-04-19,17,869,7.63806,2020-04-19,0.0299,26,RS,15,2
1002,2020-04-20,17,904,7.945689999999999,2020-04-20,0.0299,27,RS,35,1
1029,2020-04-21,17,918,8.06874,2020-04-21,0.0294,27,RS,14,0
1055,2020-04-22,17,970,8.525789999999999,2020-04-22,0.0289,28,RS,52,1
1082,2020-04-23,17,1039,9.13227,2020-04-23,0.0279,29,RS,69,1
1109,2020-04-24,17,1096,9.63327,2020-04-24,0.031,34,RS,57,5
1136,2020-04-25,17,1166,10.24853,2020-04-25,0.03,35,RS,70,1
1163,2020-04-26,18,1208,10.61769,2020-04-26,0.0315,38,RS,42,3
1190,2020-04-27,18,1256,11.039589999999999,2020-04-27,0.0358,45,RS,48,7
1216,2020-04-28,18,1350,11.8658,2020-04-28,0.0363,49,RS,94,4
1243,2020-04-29,18,1420,12.481060000000001,2020-04-29,0.0359,51,RS,70,2
1269,2020-04-30,18,1529,13.439110000000001,2020-04-30,0.0379,58,RS,109,7
