index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
10,2020-03-05,10,1,0.00579,2020-03-05,0.0,0,RJ,1,0
14,2020-03-06,10,2,0.01158,2020-03-06,0.0,0,RJ,1,0
24,2020-03-08,11,3,0.01738,2020-03-08,0.0,0,RJ,1,0
54,2020-03-12,11,15,0.08688,2020-03-12,0.0,0,RJ,12,0
89,2020-03-15,12,24,0.13901,2020-03-15,0.0,0,RJ,9,0
102,2020-03-16,12,25,0.1448,2020-03-16,0.0,0,RJ,1,0
135,2020-03-18,12,63,0.3649,2020-03-18,0.0,0,RJ,38,0
157,2020-03-19,12,66,0.38228,2020-03-19,0.0303,2,RJ,3,2
204,2020-03-21,12,119,0.68926,2020-03-21,0.0252,3,RJ,53,1
231,2020-03-22,13,186,1.07733,2020-03-22,0.0161,3,RJ,67,0
257,2020-03-23,13,233,1.34956,2020-03-23,0.0172,4,RJ,47,1
281,2020-03-24,13,305,1.76659,2020-03-24,0.0197,6,RJ,72,2
308,2020-03-25,13,370,2.1430700000000003,2020-03-25,0.0216,8,RJ,65,2
335,2020-03-26,13,421,2.43847,2020-03-26,0.0214,9,RJ,51,1
361,2020-03-27,13,493,2.8555,2020-03-27,0.0203,10,RJ,72,1
387,2020-03-28,13,558,3.23198,2020-03-28,0.0233,13,RJ,65,3
411,2020-03-29,14,600,3.47525,2020-03-29,0.0283,17,RJ,42,4
436,2020-03-30,14,657,3.8054,2020-03-30,0.0274,18,RJ,57,1
463,2020-03-31,14,708,4.1008,2020-03-31,0.0325,23,RJ,51,5
490,2020-04-01,14,832,4.81901,2020-04-01,0.0337,28,RJ,124,5
517,2020-04-02,14,992,5.74575,2020-04-02,0.0413,41,RJ,160,13
544,2020-04-03,14,1074,6.2207,2020-04-03,0.0438,47,RJ,82,6
571,2020-04-04,14,1246,7.216939999999999,2020-04-04,0.0465,58,RJ,172,11
598,2020-04-05,15,1394,8.07417,2020-04-05,0.0459,64,RJ,148,6
