index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
181,2020-03-20,12,1,0.05627000000000001,2020-03-20,0.0,0,RO,1,0
206,2020-03-21,12,3,0.1688,2020-03-21,0.0,0,RO,2,0
233,2020-03-22,13,3,0.1688,2020-03-22,0.0,0,RO,0,0
283,2020-03-24,13,5,0.28134000000000003,2020-03-24,0.0,0,RO,2,0
310,2020-03-25,13,5,0.28134000000000003,2020-03-25,0.0,0,RO,0,0
337,2020-03-26,13,6,0.3376,2020-03-26,0.0,0,RO,1,0
363,2020-03-27,13,6,0.3376,2020-03-27,0.0,0,RO,0,0
389,2020-03-28,13,6,0.3376,2020-03-28,0.0,0,RO,0,0
412,2020-03-29,14,6,0.3376,2020-03-29,0.0,0,RO,0,0
438,2020-03-30,14,8,0.45014,2020-03-30,0.125,1,RO,2,1
465,2020-03-31,14,9,0.50641,2020-03-31,0.1111,1,RO,1,0
492,2020-04-01,14,9,0.50641,2020-04-01,0.1111,1,RO,0,0
519,2020-04-02,14,10,0.56267,2020-04-02,0.1,1,RO,1,0
546,2020-04-03,14,10,0.56267,2020-04-03,0.1,1,RO,0,0
573,2020-04-04,14,11,0.6189399999999999,2020-04-04,0.0909,1,RO,1,0
600,2020-04-05,15,14,0.78774,2020-04-05,0.0714,1,RO,3,0
625,2020-04-06,15,18,1.01281,2020-04-06,0.0556,1,RO,4,0
652,2020-04-07,15,23,1.29415,2020-04-07,0.0435,1,RO,5,0
679,2020-04-08,15,26,1.46295,2020-04-08,0.0385,1,RO,3,0
705,2020-04-09,15,28,1.57549,2020-04-09,0.0714,2,RO,2,1
732,2020-04-10,15,32,1.80056,2020-04-10,0.0625,2,RO,4,0
759,2020-04-11,15,34,1.9130900000000002,2020-04-11,0.0588,2,RO,2,0
786,2020-04-12,16,42,2.3632299999999997,2020-04-12,0.0476,2,RO,8,0
838,2020-04-14,16,69,3.88246,2020-04-14,0.028999999999999998,2,RO,27,0
865,2020-04-15,16,73,4.107530000000001,2020-04-15,0.0274,2,RO,4,0
892,2020-04-16,16,92,5.17661,2020-04-16,0.0326,3,RO,19,1
919,2020-04-17,16,110,6.18942,2020-04-17,0.0273,3,RO,18,0
946,2020-04-18,16,128,7.20224,2020-04-18,0.0312,4,RO,18,1
973,2020-04-19,17,160,9.0028,2020-04-19,0.025,4,RO,32,0
1000,2020-04-20,17,199,11.197230000000001,2020-04-20,0.0201,4,RO,39,0
1027,2020-04-21,17,223,12.54765,2020-04-21,0.0224,5,RO,24,1
1080,2020-04-23,17,250,14.066870000000002,2020-04-23,0.02,5,RO,27,0
1107,2020-04-24,17,290,16.31757,2020-04-24,0.0207,6,RO,40,1
1134,2020-04-25,17,328,18.45574,2020-04-25,0.0213,7,RO,38,1
1161,2020-04-26,18,364,20.481370000000002,2020-04-26,0.0275,10,RO,36,3
1188,2020-04-27,18,393,22.113129999999998,2020-04-27,0.0254,10,RO,29,0
1215,2020-04-28,18,413,23.23848,2020-04-28,0.0266,11,RO,20,1
1241,2020-04-29,18,433,24.36383,2020-04-29,0.0346,15,RO,20,4
1267,2020-04-30,18,502,28.24628,2020-04-30,0.0319,16,RO,69,1
1294,2020-05-01,18,585,32.91648,2020-05-01,0.0308,18,RO,83,2
1321,2020-05-02,18,654,36.79894,2020-05-02,0.0352,23,RO,69,5
1347,2020-05-03,19,705,39.66858,2020-05-03,0.034,24,RO,51,1
1374,2020-05-04,19,756,42.53823,2020-05-04,0.0331,25,RO,51,1
1401,2020-05-05,19,861,48.44631,2020-05-05,0.0337,29,RO,105,4
1428,2020-05-06,19,943,53.06025,2020-05-06,0.035,33,RO,82,4
1455,2020-05-07,19,1098,61.78171,2020-05-07,0.0337,37,RO,155,4
1482,2020-05-08,19,1222,68.75888,2020-05-08,0.0319,39,RO,124,2
1508,2020-05-09,19,1263,71.06585,2020-05-09,0.0325,41,RO,41,2
1535,2020-05-10,20,1302,73.26028000000001,2020-05-10,0.033,43,RO,39,2
1562,2020-05-11,20,1398,78.66196,2020-05-11,0.0336,47,RO,96,4
1589,2020-05-12,20,1460,82.15054,2020-05-12,0.0342,50,RO,62,3
1616,2020-05-13,20,1612,90.7032,2020-05-13,0.031,50,RO,152,0
1643,2020-05-14,20,1686,94.867,2020-05-14,0.0332,56,RO,74,6
1669,2020-05-15,20,1794,100.94389,2020-05-15,0.0346,62,RO,108,6
1696,2020-05-16,20,1918,107.92106000000001,2020-05-16,0.036000000000000004,69,RO,124,7
1722,2020-05-17,21,1963,110.45308999999999,2020-05-17,0.0377,74,RO,45,5
1749,2020-05-18,21,2043,114.95448999999999,2020-05-18,0.0406,83,RO,80,9
1776,2020-05-19,21,2413,135.77347,2020-05-19,0.0365,88,RO,370,5
1803,2020-05-20,21,2499,140.61247,2020-05-20,0.036000000000000004,90,RO,86,2
1856,2020-05-22,21,2774,156.08603,2020-05-22,0.0382,106,RO,275,16
1881,2020-05-23,21,3109,174.93563999999998,2020-05-23,0.037000000000000005,115,RO,335,9
1908,2020-05-24,22,3201,180.11225,2020-05-24,0.0378,121,RO,92,6
1934,2020-05-25,22,3268,183.88218,2020-05-25,0.037000000000000005,121,RO,67,0
1961,2020-05-26,22,3493,196.54236,2020-05-26,0.0381,133,RO,225,12
1987,2020-05-27,22,3862,217.30507000000003,2020-05-27,0.0355,137,RO,369,4
2013,2020-05-28,22,4252,239.24938999999998,2020-05-28,0.0334,142,RO,390,5
2040,2020-05-29,22,4502,253.31627000000003,2020-05-29,0.0322,145,RO,250,3
2066,2020-05-30,22,4743,266.87673,2020-05-30,0.0318,151,RO,241,6
