index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
207,2020-03-21,12,2,0.33016,2020-03-21,0.0,0,RR,2,0
234,2020-03-22,13,2,0.33016,2020-03-22,0.0,0,RR,0,0
258,2020-03-23,13,2,0.33016,2020-03-23,0.0,0,RR,0,0
284,2020-03-24,13,8,1.32065,2020-03-24,0.0,0,RR,6,0
311,2020-03-25,13,8,1.32065,2020-03-25,0.0,0,RR,0,0
338,2020-03-26,13,10,1.6508200000000002,2020-03-26,0.0,0,RR,2,0
364,2020-03-27,13,12,1.98098,2020-03-27,0.0,0,RR,2,0
390,2020-03-28,13,16,2.64131,2020-03-28,0.0,0,RR,4,0
413,2020-03-29,14,16,2.64131,2020-03-29,0.0,0,RR,0,0
439,2020-03-30,14,16,2.64131,2020-03-30,0.0,0,RR,0,0
466,2020-03-31,14,16,2.64131,2020-03-31,0.0,0,RR,0,0
493,2020-04-01,14,26,4.29212,2020-04-01,0.0,0,RR,10,0
520,2020-04-02,14,30,4.95245,2020-04-02,0.0,0,RR,4,0
547,2020-04-03,14,37,6.10802,2020-04-03,0.027000000000000003,1,RR,7,1
574,2020-04-04,14,42,6.93343,2020-04-04,0.0238,1,RR,5,0
601,2020-04-05,15,42,6.93343,2020-04-05,0.0238,1,RR,0,0
626,2020-04-06,15,42,6.93343,2020-04-06,0.0238,1,RR,0,0
653,2020-04-07,15,49,8.089,2020-04-07,0.0204,1,RR,7,0
680,2020-04-08,15,52,8.58424,2020-04-08,0.0192,1,RR,3,0
706,2020-04-09,15,63,10.400139999999999,2020-04-09,0.0317,2,RR,11,1
733,2020-04-10,15,75,12.38112,2020-04-10,0.04,3,RR,12,1
760,2020-04-11,15,79,13.04145,2020-04-11,0.038,3,RR,4,0
787,2020-04-12,16,83,13.701770000000002,2020-04-12,0.0361,3,RR,4,0
812,2020-04-13,16,113,18.654220000000002,2020-04-13,0.0265,3,RR,30,0
839,2020-04-14,16,114,18.8193,2020-04-14,0.0263,3,RR,1,0
866,2020-04-15,16,142,23.441589999999998,2020-04-15,0.0211,3,RR,28,0
893,2020-04-16,16,164,27.07338,2020-04-16,0.0183,3,RR,22,0
920,2020-04-17,16,201,33.1814,2020-04-17,0.0149,3,RR,37,0
947,2020-04-18,16,222,36.64812,2020-04-18,0.0135,3,RR,21,0
974,2020-04-19,17,244,40.27991,2020-04-19,0.0123,3,RR,22,0
1001,2020-04-20,17,247,40.77516,2020-04-20,0.0121,3,RR,3,0
1028,2020-04-21,17,280,46.22285,2020-04-21,0.0107,3,RR,33,0
1054,2020-04-22,17,297,49.02924,2020-04-22,0.0101,3,RR,17,0
1081,2020-04-23,17,304,50.18481,2020-04-23,0.0099,3,RR,7,0
1108,2020-04-24,17,345,56.95315,2020-04-24,0.0087,3,RR,41,0
1135,2020-04-25,17,401,66.19771999999999,2020-04-25,0.01,4,RR,56,1
1162,2020-04-26,18,407,67.18821,2020-04-26,0.0098,4,RR,6,0
1189,2020-04-27,18,425,70.15968000000001,2020-04-27,0.0094,4,RR,18,0
1242,2020-04-29,18,426,70.32477,2020-04-29,0.0094,4,RR,1,0
1268,2020-04-30,18,519,85.67735,2020-04-30,0.0135,7,RR,93,3
1295,2020-05-01,18,519,85.67735,2020-05-01,0.0135,7,RR,0,0
1348,2020-05-03,19,533,87.9885,2020-05-03,0.0131,7,RR,14,0
1375,2020-05-04,19,578,95.41717,2020-05-04,0.019,11,RR,45,4
1402,2020-05-05,19,869,143.45592,2020-05-05,0.0127,11,RR,291,0
1429,2020-05-06,19,932,153.85606,2020-05-06,0.0139,13,RR,63,2
1456,2020-05-07,19,1020,168.38324,2020-05-07,0.0137,14,RR,88,1
1483,2020-05-08,19,1124,185.55173,2020-05-08,0.0142,16,RR,104,2
1509,2020-05-09,19,1202,198.42809,2020-05-09,0.015,18,RR,78,2
1536,2020-05-10,20,1290,212.95527,2020-05-10,0.0163,21,RR,88,3
1563,2020-05-11,20,1295,213.78068,2020-05-11,0.0185,24,RR,5,3
1590,2020-05-12,20,1411,232.93015,2020-05-12,0.0198,28,RR,116,4
1617,2020-05-13,20,1411,232.93015,2020-05-13,0.0206,29,RR,0,1
1644,2020-05-14,20,1500,247.62241,2020-05-14,0.0247,37,RR,89,8
1670,2020-05-15,20,1589,262.31467999999995,2020-05-15,0.0252,40,RR,89,3
1697,2020-05-16,20,1706,281.62922000000003,2020-05-16,0.0287,49,RR,117,9
1723,2020-05-17,21,1791,295.66116,2020-05-17,0.0285,51,RR,85,2
1750,2020-05-18,21,1882,310.68359,2020-05-18,0.0319,60,RR,91,9
1777,2020-05-19,21,1988,328.18224,2020-05-19,0.0322,64,RR,106,4
1804,2020-05-20,21,1988,328.18224,2020-05-20,0.0322,64,RR,0,0
1830,2020-05-21,21,1988,328.18224,2020-05-21,0.0322,64,RR,0,0
1857,2020-05-22,21,2296,379.02737,2020-05-22,0.0314,72,RR,308,8
1882,2020-05-23,21,2439,402.63403999999997,2020-05-23,0.0295,72,RR,143,0
1909,2020-05-24,22,2439,402.63403999999997,2020-05-24,0.0344,84,RR,0,12
1935,2020-05-25,22,2564,423.26924,2020-05-25,0.0335,86,RR,125,2
1962,2020-05-26,22,2682,442.74887,2020-05-26,0.038,102,RR,118,16
1988,2020-05-27,22,2959,488.47648,2020-05-27,0.0345,102,RR,277,0
2014,2020-05-28,22,3098,511.42282,2020-05-28,0.0349,108,RR,139,6
2041,2020-05-29,22,3299,544.60423,2020-05-29,0.0333,110,RR,201,2
2067,2020-05-30,22,3474,573.49351,2020-05-30,0.0334,116,RR,175,6
2094,2020-05-31,23,3692,609.4813,2020-05-31,0.0314,116,RR,218,0
2120,2020-06-01,23,3850,635.56419,2020-06-01,0.0312,120,RR,158,4
2147,2020-06-02,23,4143,683.9331,2020-06-02,0.0299,124,RR,293,4
2200,2020-06-04,23,4831,797.50925,2020-06-04,0.0288,139,RR,688,15
2226,2020-06-05,23,5238,864.69746,2020-06-05,0.0265,139,RR,407,0
2252,2020-06-06,23,5529,912.7362099999999,2020-06-06,0.0257,142,RR,291,3
2279,2020-06-07,24,5768,952.1907199999999,2020-06-07,0.0251,145,RR,239,3
2306,2020-06-08,24,6056,999.7342199999999,2020-06-08,0.0277,168,RR,288,23
2333,2020-06-09,24,6347,1047.77297,2020-06-09,0.0287,182,RR,291,14
2360,2020-06-10,24,6594,1088.54812,2020-06-10,0.0285,188,RR,247,6
2387,2020-06-11,24,6712,1108.02775,2020-06-11,0.0286,192,RR,118,4
2414,2020-06-12,24,6842,1129.48836,2020-06-12,0.0288,197,RR,130,5
2441,2020-06-13,24,6875,1134.93606,2020-06-13,0.0291,200,RR,33,3
2468,2020-06-14,25,6881,1135.92655,2020-06-14,0.0295,203,RR,6,3
2495,2020-06-15,25,6935,1144.84095,2020-06-15,0.0311,216,RR,54,13
2522,2020-06-16,25,7150,1180.3335,2020-06-16,0.0313,224,RR,215,8
2549,2020-06-17,25,7421,1225.07061,2020-06-17,0.0302,224,RR,271,0
2576,2020-06-18,25,7650,1262.8743,2020-06-18,0.0312,239,RR,229,15
2603,2020-06-19,25,8037,1326.76088,2020-06-19,0.0305,245,RR,387,6
2630,2020-06-20,25,8120,1340.46266,2020-06-20,0.0309,251,RR,83,6
2657,2020-06-21,26,8188,1351.68821,2020-06-21,0.0307,251,RR,68,0
2684,2020-06-22,26,10340,1706.9438300000002,2020-06-22,0.0242,250,RR,2152,-1
2711,2020-06-23,26,10803,1783.3766100000003,2020-06-23,0.024,259,RR,463,9
2738,2020-06-24,26,11872,1959.84885,2020-06-24,0.0228,271,RR,1069,12
2764,2020-06-25,26,12911,2131.3686399999997,2020-06-25,0.0211,273,RR,1039,2
2791,2020-06-26,26,13078,2158.93727,2020-06-26,0.0215,281,RR,167,8
2817,2020-06-27,26,14341,2367.43534,2020-06-27,0.0196,281,RR,1263,0
2844,2020-06-28,27,14459,2386.91497,2020-06-28,0.0194,281,RR,118,0
2871,2020-06-29,27,14641,2416.95982,2020-06-29,0.0193,283,RR,182,2
2898,2020-06-30,27,15153,2501.4816100000003,2020-06-30,0.0207,314,RR,512,31
2925,2020-07-01,27,17583,2902.62992,2020-07-01,0.0201,354,RR,2430,40
2952,2020-07-02,27,18323,3024.7903100000003,2020-07-02,0.0195,358,RR,740,4
2979,2020-07-03,27,18769,3098.4167,2020-07-03,0.0194,364,RR,446,6
3006,2020-07-04,27,18922,3123.6741899999997,2020-07-04,0.0194,368,RR,153,4
3033,2020-07-05,28,18948,3127.9663100000002,2020-07-05,0.0196,371,RR,26,3
3060,2020-07-06,28,19088,3151.0777399999997,2020-07-06,0.0197,376,RR,140,5
3087,2020-07-07,28,19284,3183.43373,2020-07-07,0.02,386,RR,196,10
3114,2020-07-08,28,20154,3327.0547300000003,2020-07-08,0.0195,393,RR,870,7
3141,2020-07-09,28,21220,3503.0317200000004,2020-07-09,0.0185,393,RR,1066,0
3168,2020-07-10,28,21849,3606.8680600000002,2020-07-10,0.0181,396,RR,629,3
3195,2020-07-11,28,22225,3668.93874,2020-07-11,0.0178,396,RR,376,0
3222,2020-07-12,29,22627,3735.30155,2020-07-12,0.0175,397,RR,402,1
3249,2020-07-13,29,22968,3791.5943700000003,2020-07-13,0.0173,398,RR,341,1
3275,2020-07-14,29,23681,3909.29756,2020-07-14,0.017,403,RR,713,5
3302,2020-07-15,29,24397,4027.49599,2020-07-15,0.017,415,RR,716,12
3329,2020-07-16,29,25007,4128.19577,2020-07-16,0.017,425,RR,610,10
3356,2020-07-17,29,25373,4188.61564,2020-07-17,0.0169,429,RR,366,4
3381,2020-07-18,29,25467,4204.13331,2020-07-18,0.0168,429,RR,94,0
3407,2020-07-19,30,25686,4240.28619,2020-07-19,0.0168,431,RR,219,2
3434,2020-07-20,30,25985,4289.64559,2020-07-20,0.0167,435,RR,299,4
