index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
57,2020-03-12,11,2,0.02791,2020-03-12,0.0,0,SC,2,0
71,2020-03-13,11,3,0.04187,2020-03-13,0.0,0,SC,1,0
79,2020-03-14,11,5,0.06978999999999999,2020-03-14,0.0,0,SC,2,0
90,2020-03-15,12,6,0.08374,2020-03-15,0.0,0,SC,1,0
105,2020-03-16,12,7,0.0977,2020-03-16,0.0,0,SC,1,0
119,2020-03-17,12,7,0.0977,2020-03-17,0.0,0,SC,0,0
138,2020-03-18,12,14,0.1954,2020-03-18,0.0,0,SC,7,0
159,2020-03-19,12,21,0.2931,2020-03-19,0.0,0,SC,7,0
183,2020-03-20,12,40,0.55829,2020-03-20,0.0,0,SC,19,0
209,2020-03-21,12,57,0.79556,2020-03-21,0.0,0,SC,17,0
236,2020-03-22,13,68,0.94909,2020-03-22,0.0,0,SC,11,0
260,2020-03-23,13,86,1.20031,2020-03-23,0.0,0,SC,18,0
286,2020-03-24,13,109,1.5213299999999998,2020-03-24,0.0,0,SC,23,0
313,2020-03-25,13,122,1.7027700000000001,2020-03-25,0.0,0,SC,13,0
340,2020-03-26,13,149,2.0796099999999997,2020-03-26,0.0067,1,SC,27,1
366,2020-03-27,13,163,2.27501,2020-03-27,0.0061,1,SC,14,0
392,2020-03-28,13,184,2.56812,2020-03-28,0.0054,1,SC,21,0
415,2020-03-29,14,197,2.74956,2020-03-29,0.0051,1,SC,13,0
441,2020-03-30,14,219,3.05662,2020-03-30,0.0091,2,SC,22,1
468,2020-03-31,14,235,3.2799300000000002,2020-03-31,0.0085,2,SC,16,0
495,2020-04-01,14,247,3.4474199999999997,2020-04-01,0.0081,2,SC,12,0
522,2020-04-02,14,281,3.92196,2020-04-02,0.0178,5,SC,34,3
549,2020-04-03,14,301,4.2011,2020-04-03,0.0166,5,SC,20,0
576,2020-04-04,14,356,4.96874,2020-04-04,0.0281,10,SC,55,5
603,2020-04-05,15,379,5.28976,2020-04-05,0.0264,10,SC,23,0
628,2020-04-06,15,417,5.820130000000001,2020-04-06,0.0264,11,SC,38,1
655,2020-04-07,15,457,6.378419999999999,2020-04-07,0.0328,15,SC,40,4
682,2020-04-08,15,501,6.99253,2020-04-08,0.0339,17,SC,44,2
708,2020-04-09,15,693,9.6723,2020-04-09,0.026000000000000002,18,SC,192,1
735,2020-04-10,15,717,10.00727,2020-04-10,0.0251,18,SC,24,0
762,2020-04-11,15,732,10.21663,2020-04-11,0.0287,21,SC,15,3
789,2020-04-12,16,776,10.83075,2020-04-12,0.0309,24,SC,44,3
814,2020-04-13,16,826,11.5286,2020-04-13,0.0315,26,SC,50,2
841,2020-04-14,16,853,11.90545,2020-04-14,0.0328,28,SC,27,2
868,2020-04-15,16,884,12.33812,2020-04-15,0.0328,29,SC,31,1
895,2020-04-16,16,926,12.92432,2020-04-16,0.0324,30,SC,42,1
922,2020-04-17,16,962,13.426779999999999,2020-04-17,0.0322,31,SC,36,1
949,2020-04-18,16,975,13.608220000000001,2020-04-18,0.0328,32,SC,13,1
976,2020-04-19,17,1025,14.30608,2020-04-19,0.0341,35,SC,50,3
1003,2020-04-20,17,1063,14.83645,2020-04-20,0.0329,35,SC,38,0
1030,2020-04-21,17,1091,15.22725,2020-04-21,0.0339,37,SC,28,2
1056,2020-04-22,17,1115,15.562220000000002,2020-04-22,0.035,39,SC,24,2
1083,2020-04-23,17,1170,16.32986,2020-04-23,0.0359,42,SC,55,3
1110,2020-04-24,17,1209,16.87419,2020-04-24,0.0347,42,SC,39,0
1137,2020-04-25,17,1235,17.23708,2020-04-25,0.034,42,SC,26,0
1164,2020-04-26,18,1337,18.66071,2020-04-26,0.0322,43,SC,102,1
1191,2020-04-27,18,1476,20.60075,2020-04-27,0.0298,44,SC,139,1
