index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
80,2020-03-14,11,1,0.0435,2020-03-14,0.0,0,SE,1,0
106,2020-03-16,12,5,0.21750999999999998,2020-03-16,0.0,0,SE,4,0
139,2020-03-18,12,6,0.26102,2020-03-18,0.0,0,SE,1,0
184,2020-03-20,12,7,0.30451999999999996,2020-03-20,0.0,0,SE,1,0
210,2020-03-21,12,10,0.43503000000000003,2020-03-21,0.0,0,SE,3,0
287,2020-03-24,13,15,0.65254,2020-03-24,0.0,0,SE,5,0
314,2020-03-25,13,16,0.69605,2020-03-25,0.0,0,SE,1,0
367,2020-03-27,13,16,0.69605,2020-03-27,0.0,0,SE,0,0
442,2020-03-30,14,18,0.78305,2020-03-30,0.0,0,SE,2,0
469,2020-03-31,14,19,0.8265600000000001,2020-03-31,0.0,0,SE,1,0
496,2020-04-01,14,22,0.95706,2020-04-01,0.0,0,SE,3,0
523,2020-04-02,14,24,1.04407,2020-04-02,0.0833,2,SE,2,2
550,2020-04-03,14,27,1.17458,2020-04-03,0.0741,2,SE,3,0
577,2020-04-04,14,32,1.39209,2020-04-04,0.0938,3,SE,5,1
629,2020-04-06,15,32,1.39209,2020-04-06,0.125,4,SE,0,1
656,2020-04-07,15,36,1.5661100000000001,2020-04-07,0.1111,4,SE,4,0
683,2020-04-08,15,39,1.69661,2020-04-08,0.1026,4,SE,3,0
709,2020-04-09,15,40,1.7401200000000001,2020-04-09,0.1,4,SE,1,0
736,2020-04-10,15,42,1.82712,2020-04-10,0.0952,4,SE,2,0
763,2020-04-11,15,44,1.9141299999999999,2020-04-11,0.0909,4,SE,2,0
815,2020-04-13,16,45,1.95763,2020-04-13,0.0889,4,SE,1,0
842,2020-04-14,16,46,2.00113,2020-04-14,0.087,4,SE,1,0
869,2020-04-15,16,48,2.08814,2020-04-15,0.0833,4,SE,2,0
896,2020-04-16,16,53,2.30566,2020-04-16,0.0755,4,SE,5,0
923,2020-04-17,16,58,2.52317,2020-04-17,0.069,4,SE,5,0
950,2020-04-18,16,71,3.08871,2020-04-18,0.0704,5,SE,13,1
977,2020-04-19,17,86,3.74125,2020-04-19,0.0581,5,SE,15,0
1004,2020-04-20,17,92,4.002269999999999,2020-04-20,0.0543,5,SE,6,0
1031,2020-04-21,17,117,5.089840000000001,2020-04-21,0.0598,7,SE,25,2
1057,2020-04-22,17,118,5.13335,2020-04-22,0.0593,7,SE,1,0
1084,2020-04-23,17,135,5.87289,2020-04-23,0.0593,8,SE,17,1
1111,2020-04-24,17,145,6.307919999999999,2020-04-24,0.0552,8,SE,10,0
1138,2020-04-25,17,154,6.69945,2020-04-25,0.0584,9,SE,9,1
1165,2020-04-26,18,175,7.613010000000001,2020-04-26,0.0514,9,SE,21,0
1192,2020-04-27,18,211,9.17912,2020-04-27,0.0521,11,SE,36,2
1218,2020-04-28,18,280,12.180819999999999,2020-04-28,0.0393,11,SE,69,0
1271,2020-04-30,18,453,19.70683,2020-04-30,0.0309,14,SE,173,3
1298,2020-05-01,18,517,22.49101,2020-05-01,0.0271,14,SE,64,0
1324,2020-05-02,18,601,26.14526,2020-05-02,0.0233,14,SE,84,0
1351,2020-05-03,19,730,31.757140000000003,2020-05-03,0.0192,14,SE,129,0
1378,2020-05-04,19,772,33.58426,2020-05-04,0.022000000000000002,17,SE,42,3
1405,2020-05-05,19,898,39.06563,2020-05-05,0.0234,21,SE,126,4
1432,2020-05-06,19,998,43.41592,2020-05-06,0.023,23,SE,100,2
1459,2020-05-07,19,1214,52.81255,2020-05-07,0.0206,25,SE,216,2
1486,2020-05-08,19,1438,62.55721,2020-05-08,0.0195,28,SE,224,3
1512,2020-05-09,19,1588,69.08265,2020-05-09,0.0208,33,SE,150,5
1539,2020-05-10,20,1771,77.04368000000001,2020-05-10,0.0192,34,SE,183,1
1566,2020-05-11,20,1800,78.30527,2020-05-11,0.0206,37,SE,29,3
1593,2020-05-12,20,2032,88.39794,2020-05-12,0.0182,37,SE,232,0
1620,2020-05-13,20,2268,98.66463,2020-05-13,0.0185,42,SE,236,5
1647,2020-05-14,20,2494,108.4963,2020-05-14,0.0188,47,SE,226,5
1673,2020-05-15,20,2868,124.76638999999999,2020-05-15,0.0174,50,SE,374,3
1700,2020-05-16,20,3135,136.38166999999999,2020-05-16,0.0169,53,SE,267,3
1726,2020-05-17,21,3343,145.43028,2020-05-17,0.0171,57,SE,208,4
1753,2020-05-18,21,3566,155.13143,2020-05-18,0.0165,59,SE,223,2
1780,2020-05-19,21,3967,172.5761,2020-05-19,0.0159,63,SE,401,4
1807,2020-05-20,21,4277,186.06201000000001,2020-05-20,0.0161,69,SE,310,6
1833,2020-05-21,21,4734,205.94285,2020-05-21,0.0161,76,SE,457,7
1860,2020-05-22,21,4922,214.1214,2020-05-22,0.0167,82,SE,188,6
1885,2020-05-23,21,5131,223.21351,2020-05-23,0.0168,86,SE,209,4
1912,2020-05-24,22,5314,231.17453999999998,2020-05-24,0.0175,93,SE,183,7
1938,2020-05-25,22,5448,237.00394,2020-05-25,0.0189,103,SE,134,10
1965,2020-05-26,22,5735,249.48927999999998,2020-05-26,0.0202,116,SE,287,13
1991,2020-05-27,22,5912,257.18928999999997,2020-05-27,0.0215,127,SE,177,11
2017,2020-05-28,22,6156,267.80401,2020-05-28,0.0219,135,SE,244,8
2044,2020-05-29,22,6462,281.1159,2020-05-29,0.022000000000000002,142,SE,306,7
2070,2020-05-30,22,6805,296.03741,2020-05-30,0.0219,149,SE,343,7
2097,2020-05-31,23,6999,304.47697,2020-05-31,0.0226,158,SE,194,9
2123,2020-06-01,23,7233,314.65666,2020-06-01,0.023,166,SE,234,8
