index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
0,2020-02-25,9,1,0.00218,2020-02-25,0.0,0,SP,1,0
1,2020-02-26,9,1,0.00218,2020-02-26,0.0,0,SP,0,0
2,2020-02-27,9,1,0.00218,2020-02-27,0.0,0,SP,0,0
3,2020-02-28,9,2,0.00436,2020-02-28,0.0,0,SP,1,0
4,2020-02-29,9,2,0.00436,2020-02-29,0.0,0,SP,0,0
5,2020-03-01,10,2,0.00436,2020-03-01,0.0,0,SP,0,0
6,2020-03-02,10,2,0.00436,2020-03-02,0.0,0,SP,0,0
7,2020-03-03,10,2,0.00436,2020-03-03,0.0,0,SP,0,0
8,2020-03-04,10,3,0.006529999999999999,2020-03-04,0.0,0,SP,1,0
11,2020-03-05,10,6,0.013069999999999998,2020-03-05,0.0,0,SP,3,0
15,2020-03-06,10,10,0.02178,2020-03-06,0.0,0,SP,4,0
19,2020-03-07,10,13,0.028310000000000002,2020-03-07,0.0,0,SP,3,0
25,2020-03-08,11,16,0.034839999999999996,2020-03-08,0.0,0,SP,3,0
31,2020-03-09,11,16,0.034839999999999996,2020-03-09,0.0,0,SP,0,0
38,2020-03-10,11,19,0.04138,2020-03-10,0.0,0,SP,3,0
44,2020-03-11,11,30,0.06533,2020-03-11,0.0,0,SP,11,0
58,2020-03-12,11,46,0.10017999999999999,2020-03-12,0.0,0,SP,16,0
81,2020-03-14,11,65,0.14155,2020-03-14,0.0,0,SP,19,0
107,2020-03-16,12,152,0.33102,2020-03-16,0.0,0,SP,87,0
120,2020-03-17,12,164,0.35715,2020-03-17,0.0061,1,SP,12,1
140,2020-03-18,12,240,0.52266,2020-03-18,0.0125,3,SP,76,2
160,2020-03-19,12,286,0.62284,2020-03-19,0.0175,5,SP,46,2
185,2020-03-20,12,396,0.86239,2020-03-20,0.0227,9,SP,110,4
211,2020-03-21,12,396,0.86239,2020-03-21,0.0379,15,SP,0,6
237,2020-03-22,13,631,1.37416,2020-03-22,0.0349,22,SP,235,7
261,2020-03-23,13,745,1.62242,2020-03-23,0.0403,30,SP,114,8
288,2020-03-24,13,810,1.76397,2020-03-24,0.0494,40,SP,65,10
315,2020-03-25,13,862,1.87722,2020-03-25,0.0557,48,SP,52,8
341,2020-03-26,13,1052,2.2909900000000003,2020-03-26,0.0551,58,SP,190,10
368,2020-03-27,13,1223,2.66338,2020-03-27,0.0556,68,SP,171,10
393,2020-03-28,13,1406,3.0619099999999997,2020-03-28,0.0597,84,SP,183,16
416,2020-03-29,14,1451,3.15991,2020-03-29,0.0675,98,SP,45,14
443,2020-03-30,14,1517,3.30364,2020-03-30,0.0745,113,SP,66,15
470,2020-03-31,14,2339,5.09375,2020-03-31,0.0581,136,SP,822,23
497,2020-04-01,14,2981,6.49186,2020-04-01,0.055,164,SP,642,28
524,2020-04-02,14,3506,7.63518,2020-04-02,0.0536,188,SP,525,24
551,2020-04-03,14,4048,8.81551,2020-04-03,0.0541,219,SP,542,31
578,2020-04-04,14,4466,9.725810000000001,2020-04-04,0.0582,260,SP,418,41
604,2020-04-05,15,4620,10.06118,2020-04-05,0.0595,275,SP,154,15
630,2020-04-06,15,4866,10.596910000000001,2020-04-06,0.0625,304,SP,246,29
657,2020-04-07,15,5682,12.37395,2020-04-07,0.0653,371,SP,816,67
