index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
141,2020-03-18,12,1,0.06358,2020-03-18,0.0,0,TO,1,0
161,2020-03-19,12,1,0.06358,2020-03-19,0.0,0,TO,0,0
186,2020-03-20,12,1,0.06358,2020-03-20,0.0,0,TO,0,0
212,2020-03-21,12,2,0.12716,2020-03-21,0.0,0,TO,1,0
238,2020-03-22,13,5,0.31789,2020-03-22,0.0,0,TO,3,0
262,2020-03-23,13,7,0.44505,2020-03-23,0.0,0,TO,2,0
289,2020-03-24,13,7,0.44505,2020-03-24,0.0,0,TO,0,0
316,2020-03-25,13,7,0.44505,2020-03-25,0.0,0,TO,0,0
342,2020-03-26,13,8,0.50863,2020-03-26,0.0,0,TO,1,0
369,2020-03-27,13,9,0.5722,2020-03-27,0.0,0,TO,1,0
394,2020-03-28,13,9,0.5722,2020-03-28,0.0,0,TO,0,0
417,2020-03-29,14,10,0.63578,2020-03-29,0.0,0,TO,1,0
444,2020-03-30,14,11,0.69936,2020-03-30,0.0,0,TO,1,0
471,2020-03-31,14,12,0.76294,2020-03-31,0.0,0,TO,1,0
498,2020-04-01,14,12,0.76294,2020-04-01,0.0,0,TO,0,0
525,2020-04-02,14,12,0.76294,2020-04-02,0.0,0,TO,0,0
552,2020-04-03,14,13,0.82652,2020-04-03,0.0,0,TO,1,0
579,2020-04-04,14,16,1.01725,2020-04-04,0.0,0,TO,3,0
605,2020-04-05,15,17,1.08083,2020-04-05,0.0,0,TO,1,0
631,2020-04-06,15,19,1.20799,2020-04-06,0.0,0,TO,2,0
658,2020-04-07,15,19,1.20799,2020-04-07,0.0,0,TO,0,0
685,2020-04-08,15,23,1.4623,2020-04-08,0.0,0,TO,4,0
711,2020-04-09,15,23,1.4623,2020-04-09,0.0,0,TO,0,0
738,2020-04-10,15,23,1.4623,2020-04-10,0.0,0,TO,0,0
765,2020-04-11,15,25,1.58946,2020-04-11,0.0,0,TO,2,0
791,2020-04-12,16,26,1.65303,2020-04-12,0.0,0,TO,1,0
817,2020-04-13,16,26,1.65303,2020-04-13,0.0,0,TO,0,0
844,2020-04-14,16,27,1.7166099999999997,2020-04-14,0.0,0,TO,1,0
871,2020-04-15,16,29,1.8437700000000001,2020-04-15,0.0345,1,TO,2,1
898,2020-04-16,16,31,1.97092,2020-04-16,0.0323,1,TO,2,0
925,2020-04-17,16,32,2.0345,2020-04-17,0.0312,1,TO,1,0
952,2020-04-18,16,33,2.09808,2020-04-18,0.0303,1,TO,1,0
979,2020-04-19,17,34,2.16166,2020-04-19,0.0294,1,TO,1,0
1006,2020-04-20,17,35,2.2252400000000003,2020-04-20,0.0571,2,TO,1,1
1033,2020-04-21,17,36,2.28882,2020-04-21,0.0556,2,TO,1,0
1059,2020-04-22,17,37,2.35239,2020-04-22,0.0541,2,TO,1,0
1086,2020-04-23,17,43,2.73386,2020-04-23,0.0465,2,TO,6,0
1113,2020-04-24,17,50,3.1789099999999997,2020-04-24,0.04,2,TO,7,0
1140,2020-04-25,17,58,3.6875400000000003,2020-04-25,0.0345,2,TO,8,0
1167,2020-04-26,18,67,4.25974,2020-04-26,0.0299,2,TO,9,0
1194,2020-04-27,18,79,5.02268,2020-04-27,0.0253,2,TO,12,0
1220,2020-04-28,18,116,7.37507,2020-04-28,0.0172,2,TO,37,0
1246,2020-04-29,18,137,8.71021,2020-04-29,0.0219,3,TO,21,1
1273,2020-04-30,18,164,10.42683,2020-04-30,0.0183,3,TO,27,0
1300,2020-05-01,18,191,12.14344,2020-05-01,0.0209,4,TO,27,1
1326,2020-05-02,18,246,15.640239999999999,2020-05-02,0.0163,4,TO,55,0
1353,2020-05-03,19,267,16.975379999999998,2020-05-03,0.0225,6,TO,21,2
1380,2020-05-04,19,303,19.2642,2020-05-04,0.0231,7,TO,36,1
1407,2020-05-05,19,351,22.31595,2020-05-05,0.0256,9,TO,48,2
1434,2020-05-06,19,423,26.89358,2020-05-06,0.0213,9,TO,72,0
1461,2020-05-07,19,494,31.407629999999997,2020-05-07,0.0182,9,TO,71,0
1488,2020-05-08,19,572,36.36673,2020-05-08,0.0157,9,TO,78,0
1514,2020-05-09,19,688,43.74181,2020-05-09,0.016,11,TO,116,2
1541,2020-05-10,20,747,47.49292,2020-05-10,0.0161,12,TO,59,1
1568,2020-05-11,20,828,52.642759999999996,2020-05-11,0.0169,14,TO,81,2
1595,2020-05-12,20,932,59.25489,2020-05-12,0.0225,21,TO,104,7
1622,2020-05-13,20,1029,65.42197,2020-05-13,0.0224,23,TO,97,2
1649,2020-05-14,20,1179,74.95871,2020-05-14,0.0204,24,TO,150,1
1675,2020-05-15,20,1279,81.31653,2020-05-15,0.0211,27,TO,100,3
1728,2020-05-17,21,1496,95.113,2020-05-17,0.0214,32,TO,217,5
1755,2020-05-18,21,1646,104.64973,2020-05-18,0.0231,38,TO,150,6
1782,2020-05-19,21,1809,115.01298,2020-05-19,0.0232,42,TO,163,4
1809,2020-05-20,21,1976,125.63054,2020-05-20,0.0238,47,TO,167,5
1835,2020-05-21,21,2205,140.18995,2020-05-21,0.0222,49,TO,229,2
1862,2020-05-22,21,2430,154.49504,2020-05-22,0.021,51,TO,225,2
1887,2020-05-23,21,2430,154.49504,2020-05-23,0.021,51,TO,0,0
1940,2020-05-25,22,2696,171.40685,2020-05-25,0.0215,58,TO,266,7
1967,2020-05-26,22,2858,181.70651999999998,2020-05-26,0.0224,64,TO,162,6
2019,2020-05-28,22,3277,208.34578,2020-05-28,0.0208,68,TO,419,4
2046,2020-05-29,22,3611,229.58091000000002,2020-05-29,0.0194,70,TO,334,2
2072,2020-05-30,22,3981,253.10484,2020-05-30,0.0178,71,TO,370,1
2099,2020-05-31,23,4176,265.50259,2020-05-31,0.0175,73,TO,195,2
2125,2020-06-01,23,4345,276.24731,2020-06-01,0.0175,76,TO,169,3
2152,2020-06-02,23,4483,285.0211,2020-06-02,0.0176,79,TO,138,3
2178,2020-06-03,23,4698,298.69042,2020-06-03,0.0175,82,TO,215,3
2231,2020-06-05,23,5505,349.99802999999997,2020-06-05,0.0174,96,TO,807,14
2257,2020-06-06,23,5644,358.8354,2020-06-06,0.0175,99,TO,139,3
2284,2020-06-07,24,5644,358.8354,2020-06-07,0.0175,99,TO,0,0
2311,2020-06-08,24,6052,384.77531,2020-06-08,0.0188,114,TO,408,15
2338,2020-06-09,24,6257,397.80884,2020-06-09,0.0192,120,TO,205,6
2365,2020-06-10,24,6529,415.10211,2020-06-10,0.019,124,TO,272,4
2392,2020-06-11,24,6744,428.77143,2020-06-11,0.019,128,TO,215,4
2419,2020-06-12,24,6931,440.66055,2020-06-12,0.0188,130,TO,187,2
2446,2020-06-13,24,6972,443.26725999999996,2020-06-13,0.0189,132,TO,41,2
2473,2020-06-14,25,7137,453.75766,2020-06-14,0.0191,136,TO,165,4
2500,2020-06-15,25,7309,464.69311,2020-06-15,0.0192,140,TO,172,4
2527,2020-06-16,25,7573,481.47776,2020-06-16,0.0197,149,TO,264,9
