index_in_parent_file,date,epidemiological_week,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,state,new_confirmed,new_deaths
1,2020-02-25,9,1,0.00218,2020-02-25,0.0,0,SP,1,0
3,2020-02-26,9,1,0.00218,2020-02-26,0.0,0,SP,0,0
5,2020-02-27,9,1,0.00218,2020-02-27,0.0,0,SP,0,0
7,2020-02-28,9,2,0.00436,2020-02-28,0.0,0,SP,1,0
9,2020-02-29,9,2,0.00436,2020-02-29,0.0,0,SP,0,0
11,2020-03-01,10,2,0.00436,2020-03-01,0.0,0,SP,0,0
13,2020-03-02,10,2,0.00436,2020-03-02,0.0,0,SP,0,0
15,2020-03-03,10,2,0.00436,2020-03-03,0.0,0,SP,0,0
17,2020-03-04,10,3,0.006529999999999999,2020-03-04,0.0,0,SP,1,0
20,2020-03-05,10,1,0.024880000000000003,2020-03-05,0.0,0,ES,1,0
21,2020-03-05,10,1,0.00579,2020-03-05,0.0,0,RJ,1,0
22,2020-03-05,10,6,0.013069999999999998,2020-03-05,0.0,0,SP,3,0
27,2020-03-06,10,1,0.00672,2020-03-06,0.0,0,BA,1,0
28,2020-03-06,10,1,0.024880000000000003,2020-03-06,0.0,0,ES,0,0
29,2020-03-06,10,2,0.01158,2020-03-06,0.0,0,RJ,1,0
30,2020-03-06,10,10,0.02178,2020-03-06,0.0,0,SP,4,0
37,2020-03-07,10,2,0.01345,2020-03-07,0.0,0,BA,1,0
38,2020-03-07,10,1,0.03316,2020-03-07,0.0,0,DF,1,0
39,2020-03-07,10,1,0.024880000000000003,2020-03-07,0.0,0,ES,0,0
41,2020-03-07,10,13,0.028310000000000002,2020-03-07,0.0,0,SP,3,0
50,2020-03-08,11,1,0.029960000000000004,2020-03-08,0.0,0,AL,1,0
52,2020-03-08,11,1,0.03316,2020-03-08,0.0,0,DF,0,0
53,2020-03-08,11,1,0.024880000000000003,2020-03-08,0.0,0,ES,0,0
54,2020-03-08,11,1,0.00472,2020-03-08,0.0,0,MG,1,0
55,2020-03-08,11,3,0.01738,2020-03-08,0.0,0,RJ,1,0
56,2020-03-08,11,16,0.034839999999999996,2020-03-08,0.0,0,SP,3,0
65,2020-03-09,11,1,0.029960000000000004,2020-03-09,0.0,0,AL,0,0
66,2020-03-09,11,2,0.01345,2020-03-09,0.0,0,BA,0,0
67,2020-03-09,11,1,0.03316,2020-03-09,0.0,0,DF,0,0
68,2020-03-09,11,1,0.024880000000000003,2020-03-09,0.0,0,ES,0,0
69,2020-03-09,11,1,0.00472,2020-03-09,0.0,0,MG,0,0
71,2020-03-09,11,16,0.034839999999999996,2020-03-09,0.0,0,SP,0,0
81,2020-03-10,11,1,0.029960000000000004,2020-03-10,0.0,0,AL,0,0
82,2020-03-10,11,2,0.01345,2020-03-10,0.0,0,BA,0,0
83,2020-03-10,11,1,0.03316,2020-03-10,0.0,0,DF,0,0
84,2020-03-10,11,1,0.024880000000000003,2020-03-10,0.0,0,ES,0,0
85,2020-03-10,11,1,0.00472,2020-03-10,0.0,0,MG,0,0
87,2020-03-10,11,1,0.008790000000000001,2020-03-10,0.0,0,RS,1,0
88,2020-03-10,11,19,0.04138,2020-03-10,0.0,0,SP,3,0
100,2020-03-11,11,3,0.02017,2020-03-11,0.0,0,BA,1,0
101,2020-03-11,11,2,0.06633,2020-03-11,0.0,0,DF,1,0
102,2020-03-11,11,1,0.024880000000000003,2020-03-11,0.0,0,ES,0,0
103,2020-03-11,11,1,0.00472,2020-03-11,0.0,0,MG,0,0
105,2020-03-11,11,2,0.017580000000000002,2020-03-11,0.0,0,RS,1,0
106,2020-03-11,11,30,0.06533,2020-03-11,0.0,0,SP,11,0
128,2020-03-12,11,1,0.029960000000000004,2020-03-12,0.0,0,AL,0,0
129,2020-03-12,11,3,0.02017,2020-03-12,0.0,0,BA,0,0
130,2020-03-12,11,2,0.06633,2020-03-12,0.0,0,DF,0,0
131,2020-03-12,11,2,0.04977,2020-03-12,0.0,0,ES,1,0
132,2020-03-12,11,3,0.04275,2020-03-12,0.0,0,GO,3,0
133,2020-03-12,11,2,0.00945,2020-03-12,0.0,0,MG,1,0
134,2020-03-12,11,0,,2020-03-12,0.0,0,PB,0,0
135,2020-03-12,11,2,0.02093,2020-03-12,0.0,0,PE,2,0
136,2020-03-12,11,6,0.05248,2020-03-12,0.0,0,PR,6,0
137,2020-03-12,11,15,0.08688,2020-03-12,0.0,0,RJ,12,0
138,2020-03-12,11,1,0.02852,2020-03-12,0.0,0,RN,1,0
139,2020-03-12,11,4,0.035160000000000004,2020-03-12,0.0,0,RS,2,0
140,2020-03-12,11,2,0.02791,2020-03-12,0.0,0,SC,2,0
141,2020-03-12,11,46,0.10017999999999999,2020-03-12,0.0,0,SP,16,0
166,2020-03-13,11,1,0.029960000000000004,2020-03-13,0.0,0,AL,0,0
167,2020-03-13,11,2,0.048260000000000004,2020-03-13,0.0,0,AM,2,0
168,2020-03-13,11,7,0.047060000000000005,2020-03-13,0.0,0,BA,4,0
169,2020-03-13,11,2,0.06633,2020-03-13,0.0,0,DF,0,0
170,2020-03-13,11,2,0.04977,2020-03-13,0.0,0,ES,0,0
171,2020-03-13,11,3,0.04275,2020-03-13,0.0,0,GO,0,0
172,2020-03-13,11,2,0.00945,2020-03-13,0.0,0,MG,0,0
173,2020-03-13,11,0,,2020-03-13,0.0,0,PB,0,0
174,2020-03-13,11,2,0.02093,2020-03-13,0.0,0,PE,0,0
175,2020-03-13,11,6,0.05248,2020-03-13,0.0,0,PR,0,0
177,2020-03-13,11,1,0.02852,2020-03-13,0.0,0,RN,0,0
178,2020-03-13,11,4,0.035160000000000004,2020-03-13,0.0,0,RS,0,0
179,2020-03-13,11,3,0.04187,2020-03-13,0.0,0,SC,1,0
215,2020-03-14,11,8,0.26532,2020-03-14,0.0,0,DF,6,0
216,2020-03-14,11,4,0.09954,2020-03-14,0.0,0,ES,2,0
217,2020-03-14,11,4,0.05699,2020-03-14,0.0,0,GO,1,0
218,2020-03-14,11,4,0.0189,2020-03-14,0.0,0,MG,2,0
219,2020-03-14,11,2,0.07197,2020-03-14,0.0,0,MS,2,0
220,2020-03-14,11,0,,2020-03-14,0.0,0,PB,0,0
221,2020-03-14,11,7,0.07324,2020-03-14,0.0,0,PE,5,0
226,2020-03-14,11,5,0.06978999999999999,2020-03-14,0.0,0,SC,2,0
227,2020-03-14,11,1,0.0435,2020-03-14,0.0,0,SE,1,0
228,2020-03-14,11,65,0.14155,2020-03-14,0.0,0,SP,19,0
263,2020-03-15,12,9,0.06051,2020-03-15,0.0,0,BA,2,0
264,2020-03-15,12,14,0.4643,2020-03-15,0.0,0,DF,6,0
265,2020-03-15,12,4,0.09954,2020-03-15,0.0,0,ES,0,0
266,2020-03-15,12,4,0.05699,2020-03-15,0.0,0,GO,0,0
268,2020-03-15,12,2,0.07197,2020-03-15,0.0,0,MS,0,0
269,2020-03-15,12,0,,2020-03-15,0.0,0,PB,0,0
270,2020-03-15,12,8,0.08371,2020-03-15,0.0,0,PE,1,0
272,2020-03-15,12,24,0.13901,2020-03-15,0.0,0,RJ,9,0
275,2020-03-15,12,6,0.08374,2020-03-15,0.0,0,SC,1,0
319,2020-03-16,12,1,0.029960000000000004,2020-03-16,0.0,0,AL,0,0
321,2020-03-16,12,10,0.06724,2020-03-16,0.0,0,BA,1,0
322,2020-03-16,12,9,0.09855,2020-03-16,0.0,0,CE,9,0
323,2020-03-16,12,19,0.63013,2020-03-16,0.0,0,DF,5,0
324,2020-03-16,12,8,0.19907,2020-03-16,0.0,0,ES,4,0
325,2020-03-16,12,9,0.12824000000000002,2020-03-16,0.0,0,GO,5,0
326,2020-03-16,12,6,0.028339999999999997,2020-03-16,0.0,0,MG,2,0
327,2020-03-16,12,4,0.14394,2020-03-16,0.0,0,MS,2,0
328,2020-03-16,12,0,,2020-03-16,0.0,0,PB,0,0
329,2020-03-16,12,8,0.08371,2020-03-16,0.0,0,PE,0,0
330,2020-03-16,12,6,0.05248,2020-03-16,0.0,0,PR,0,0
331,2020-03-16,12,25,0.1448,2020-03-16,0.0,0,RJ,1,0
332,2020-03-16,12,1,0.02852,2020-03-16,0.0,0,RN,0,0
333,2020-03-16,12,8,0.07032000000000001,2020-03-16,0.0,0,RS,4,0
334,2020-03-16,12,7,0.0977,2020-03-16,0.0,0,SC,1,0
335,2020-03-16,12,5,0.21750999999999998,2020-03-16,0.0,0,SE,4,0
336,2020-03-16,12,152,0.33102,2020-03-16,0.0,0,SP,87,0
390,2020-03-17,12,3,0.34016,2020-03-17,0.0,0,AC,3,0
391,2020-03-17,12,1,0.029960000000000004,2020-03-17,0.0,0,AL,0,0
393,2020-03-17,12,14,0.09412999999999999,2020-03-17,0.0,0,BA,4,0
394,2020-03-17,12,10,0.1095,2020-03-17,0.0,0,CE,1,0
396,2020-03-17,12,8,0.19907,2020-03-17,0.0,0,ES,0,0
397,2020-03-17,12,10,0.14248,2020-03-17,0.0,0,GO,1,0
398,2020-03-17,12,14,0.06614,2020-03-17,0.0,0,MG,8,0
399,2020-03-17,12,6,0.21591,2020-03-17,0.0,0,MS,2,0
400,2020-03-17,12,0,,2020-03-17,0.0,0,PB,0,0
401,2020-03-17,12,18,0.18834,2020-03-17,0.0,0,PE,10,0
402,2020-03-17,12,12,0.10495,2020-03-17,0.0,0,PR,6,0
406,2020-03-17,12,7,0.0977,2020-03-17,0.0,0,SC,0,0
408,2020-03-17,12,164,0.35715,2020-03-17,0.0061,1,SP,12,1
482,2020-03-18,12,3,0.34016,2020-03-18,0.0,0,AC,0,0
483,2020-03-18,12,1,0.029960000000000004,2020-03-18,0.0,0,AL,0,0
484,2020-03-18,12,2,0.048260000000000004,2020-03-18,0.0,0,AM,0,0
485,2020-03-18,12,27,0.18154,2020-03-18,0.0,0,BA,13,0
486,2020-03-18,12,19,0.20806,2020-03-18,0.0,0,CE,9,0
487,2020-03-18,12,34,1.1275899999999999,2020-03-18,0.0,0,DF,15,0
488,2020-03-18,12,11,0.27371999999999996,2020-03-18,0.0,0,ES,3,0
489,2020-03-18,12,12,0.17098,2020-03-18,0.0,0,GO,2,0
490,2020-03-18,12,19,0.08975,2020-03-18,0.0,0,MG,5,0
491,2020-03-18,12,7,0.25189,2020-03-18,0.0,0,MS,1,0
492,2020-03-18,12,1,0.01162,2020-03-18,0.0,0,PA,1,0
493,2020-03-18,12,1,0.02489,2020-03-18,0.0,0,PB,1,0
494,2020-03-18,12,19,0.19881,2020-03-18,0.0,0,PE,1,0
495,2020-03-18,12,14,0.12244000000000001,2020-03-18,0.0,0,PR,2,0
496,2020-03-18,12,63,0.3649,2020-03-18,0.0,0,RJ,38,0
497,2020-03-18,12,1,0.02852,2020-03-18,0.0,0,RN,0,0
498,2020-03-18,12,19,0.16699999999999998,2020-03-18,0.0,0,RS,11,0
499,2020-03-18,12,14,0.1954,2020-03-18,0.0,0,SC,7,0
500,2020-03-18,12,6,0.26102,2020-03-18,0.0,0,SE,1,0
501,2020-03-18,12,240,0.52266,2020-03-18,0.0125,3,SP,76,2
502,2020-03-18,12,1,0.06358,2020-03-18,0.0,0,TO,1,0
596,2020-03-19,12,4,0.45355,2020-03-19,0.0,0,AC,1,0
597,2020-03-19,12,4,0.11986,2020-03-19,0.0,0,AL,3,0
598,2020-03-19,12,3,0.07238,2020-03-19,0.0,0,AM,1,0
599,2020-03-19,12,31,0.20843000000000003,2020-03-19,0.0,0,BA,4,0
600,2020-03-19,12,24,0.26281,2020-03-19,0.0,0,CE,5,0
601,2020-03-19,12,42,1.39291,2020-03-19,0.0,0,DF,8,0
602,2020-03-19,12,13,0.32349,2020-03-19,0.0,0,ES,2,0
603,2020-03-19,12,15,0.21373000000000003,2020-03-19,0.0,0,GO,3,0
604,2020-03-19,12,29,0.13699,2020-03-19,0.0,0,MG,10,0
605,2020-03-19,12,9,0.32386,2020-03-19,0.0,0,MS,2,0
606,2020-03-19,12,1,0.01162,2020-03-19,0.0,0,PA,0,0
607,2020-03-19,12,1,0.02489,2020-03-19,0.0,0,PB,0,0
608,2020-03-19,12,28,0.29298,2020-03-19,0.0,0,PE,9,0
609,2020-03-19,12,3,0.09165,2020-03-19,0.0,0,PI,3,0
610,2020-03-19,12,23,0.20115999999999998,2020-03-19,0.0,0,PR,9,0
611,2020-03-19,12,66,0.38228,2020-03-19,0.0303,2,RJ,3,2
613,2020-03-19,12,31,0.27247,2020-03-19,0.0,0,RS,12,0
614,2020-03-19,12,21,0.2931,2020-03-19,0.0,0,SC,7,0
616,2020-03-19,12,286,0.62284,2020-03-19,0.0175,5,SP,46,2
617,2020-03-19,12,1,0.06358,2020-03-19,0.0,0,TO,0,0
736,2020-03-20,12,7,0.79371,2020-03-20,0.0,0,AC,3,0
737,2020-03-20,12,6,0.17978,2020-03-20,0.0,0,AL,2,0
738,2020-03-20,12,7,0.16889,2020-03-20,0.0,0,AM,4,0
739,2020-03-20,12,1,0.11824000000000001,2020-03-20,0.0,0,AP,1,0
740,2020-03-20,12,34,0.2286,2020-03-20,0.0,0,BA,3,0
741,2020-03-20,12,68,0.74463,2020-03-20,0.0,0,CE,44,0
742,2020-03-20,12,87,2.88532,2020-03-20,0.0,0,DF,45,0
743,2020-03-20,12,16,0.39814,2020-03-20,0.0,0,ES,3,0
744,2020-03-20,12,18,0.25647,2020-03-20,0.0,0,GO,3,0
745,2020-03-20,12,1,0.014130000000000002,2020-03-20,0.0,0,MA,1,0
746,2020-03-20,12,38,0.17951,2020-03-20,0.0,0,MG,9,0
747,2020-03-20,12,12,0.43181,2020-03-20,0.0,0,MS,3,0
748,2020-03-20,12,1,0.0287,2020-03-20,0.0,0,MT,1,0
749,2020-03-20,12,2,0.02325,2020-03-20,0.0,0,PA,1,0
750,2020-03-20,12,1,0.02489,2020-03-20,0.0,0,PB,0,0
751,2020-03-20,12,31,0.32437,2020-03-20,0.0,0,PE,3,0
752,2020-03-20,12,4,0.1222,2020-03-20,0.0,0,PI,1,0
753,2020-03-20,12,36,0.31485,2020-03-20,0.0,0,PR,13,0
755,2020-03-20,12,6,0.17109000000000002,2020-03-20,0.0,0,RN,5,0
756,2020-03-20,12,1,0.05627000000000001,2020-03-20,0.0,0,RO,1,0
757,2020-03-20,12,43,0.37795,2020-03-20,0.0,0,RS,12,0
758,2020-03-20,12,40,0.55829,2020-03-20,0.0,0,SC,19,0
759,2020-03-20,12,7,0.30451999999999996,2020-03-20,0.0,0,SE,1,0
760,2020-03-20,12,396,0.86239,2020-03-20,0.0227,9,SP,110,4
761,2020-03-20,12,1,0.06358,2020-03-20,0.0,0,TO,0,0
904,2020-03-21,12,11,1.24726,2020-03-21,0.0,0,AC,4,0
905,2020-03-21,12,7,0.20975,2020-03-21,0.0,0,AL,1,0
906,2020-03-21,12,11,0.26541,2020-03-21,0.0,0,AM,4,0
907,2020-03-21,12,1,0.11824000000000001,2020-03-21,0.0,0,AP,0,0
908,2020-03-21,12,41,0.27566999999999997,2020-03-21,0.0,0,BA,7,0
909,2020-03-21,12,84,0.9198299999999999,2020-03-21,0.0,0,CE,16,0
910,2020-03-21,12,108,3.5817699999999997,2020-03-21,0.0,0,DF,21,0
911,2020-03-21,12,26,0.64698,2020-03-21,0.0,0,ES,10,0
912,2020-03-21,12,19,0.27071999999999996,2020-03-21,0.0,0,GO,1,0
913,2020-03-21,12,2,0.02827,2020-03-21,0.0,0,MA,1,0
914,2020-03-21,12,55,0.25982,2020-03-21,0.0,0,MG,17,0
915,2020-03-21,12,16,0.57575,2020-03-21,0.0,0,MS,4,0
917,2020-03-21,12,2,0.02325,2020-03-21,0.0,0,PA,0,0
